Protein,Protein_quant,ProteinName
A0A075B6H7,23796786.113213427, 
A0A075B6H9,9532412.254607791, 
A0A075B6J9,9527010.819382727, 
A0A075B6K4,4466883.2145400625, 
A0A087WSY6,6933668.174035341, 
A0A087WW87,108797068.99750072, 
A0A0A0MS15,19632580.274882734, 
A0A0A0MT89,3284620.408545257, 
A0A0B4J1U7,5041749.1730362065, 
A0A0B4J1V2,7731163.416242806, 
A0A0B4J1V6,5905043.982057905, 
A0A0B4J1X5,62899785.86377387, 
A0A0B4J1Y8,3461457.6587339328, 
A0A0B4J1Y9,3361837.7727096956, 
A0A0B4J2D5,6876680.587028822, 
A0A0B4J2H0,16947250.42105722, 
A0A0C4DH25,30971323.18869049, 
A0A0C4DH31,5008778.530676307, 
A0A0C4DH34,16357424.527690114, 
A0A0C4DH36,16628309.391606765, 
A0A0C4DH38,16014279.650620975, 
A0A0C4DH43,615829116.1538982, 
A0A0C4DH55,8273046.436321492, 
A0A0C4DH67,7983463.679236744, 
A0A0C4DH68,1930021.3113378317, 
A0A0C4DH72,33623978.9643451, 
A0A0J9YVY3,6000651.895050053, 
A0A0J9YXQ4,3275133.5864770417, 
A0A0J9YXX1,1015019.9786336827, 
A0AV96,11312791.711441854, 
A0AVF1,1655867.5625642648, 
A0AVT1,17644997.109788813, 
A0FGR8,27435876.59258706, 
A0JNW5,2139116.614502752, 
A0M8Q6,9258684.942932138, 
A0MZ66,5133319.65949794, 
A0PJZ3,336775.6874350005, 
A1A4S6,2270341.159550067, 
A1IGU5,2273950.5882219663, 
A1L0T0,4853619.56309506, 
A1L390,3202351.2574536535, 
A1X283,38604882.23295284, 
A1Z1Q3,254914.46505243395, 
A2RRP1,3959269.0939889, 
A2RTX5,3558947.21922974, 
A2RUB1,66924992.263620585, 
A2RUC4,2936638.1765312534, 
A2RUS2,1377499.73773888, 
A3KMH1,4021230.495937548, 
A3KN83,11615740.811935192, 
A4D1P6,9107061.98797451, 
A4D1U4,2271393.489995517, 
A4D2B0,5992508.137172321, 
A4D2P6,744417.1522889659, 
A4FU69,6395003.011442954, 
A5A3E0,3713608.4361348227, 
A5D8V6,4436190.413785066, 
A5YKK6,10664779.061830046, 
A6NC98,6158651.894776664, 
A6NCE7,19298654.308492266, 
A6ND91,11333445.844524905, 
A6NDB9,3648364.5627137944, 
A6NDG6,5764638.689855447, 
A6NED2,1652965.9110659703, 
A6NEE1,632784.3469634468, 
A6NFI3,944165.0659482769, 
A6NFN3,1876862.0565018742, 
A6NFQ2,1077929.1863116482, 
A6NHQ2,501116.5670933502, 
A6NHR9,11358067.096470967, 
A6NI28,1554219.2293923346, 
A6NIH7,5149778.085913679, 
A6NK89,7120862.594292069, 
A6NKD2,644193.6055428013, 
A6NKD9,2226350.498369771, 
A6NKT7,488102.77063987014, 
A6NL88,19754961.086936694, 
A6NLP5,1118958.7689846375, 
A6NMB1,95958168.33877662, 
A6NMZ7,14530516.154135229, 
A6ZKI3,2234566.215212198, 
A7E2V4,2628002.2995761964, 
A7KAX9,3637254.074888873, 
A8CG34,834899.266850836, 
A8K2U0,12719191.640576037, 
A8K7I4,479818.999194175, 
A8MPS7,675110.7629506536, 
A8MXV4,3093772.9003082174, 
A8TX70,1397645.6556638991, 
B0FP48,940699.68878303, 
B0I1T2,17042699.34761718, 
B2RTY4,4555204.819583366, 
B4DXR9,15673992.366363969, 
B8ZZ34,2055455.4325148782, 
B9A064,22759826.819355432, 
C4AMC7,18894408.464234393, 
C9J069,1404101.387130178, 
C9JJH3,5349142.050944481, 
C9JLR9,1454716.5744712078, 
C9JLW8,8527690.387569344, 
DECOY_O75077,4839050.582583085,
DECOY_P26010,1407036.445871616,
DECOY_P55087,8097167.160839676,
DECOY_Q96BR5,889794.9662018566,
DECOY_Q96H78,2344719.2811247096,
E9PAV3,80110578.27978745, 
E9PRG8,3972588.1218439457, 
G9CGD6,1960492.2124605125, 
L0R6Q1,1764929.8125770066, 
L0R819,1880913.1005435474, 
L0R8F8,698593.9281626495, 
O00115,9301346.445670031, 
O00116,9028578.90947423, 
O00124,874971.2069237753, 
O00139,18203217.86698796, 
O00142,8452192.16729719, 
O00148,4789609.665499258, 
O00151,115110814.41393499, 
O00154,8127289.801466193, 
O00159,92595032.3106259, 
O00160,82629812.67924552, 
O00161,28116891.487272374, 
O00165,6454698.664528191, 
O00170,23045918.01196517, 
O00178,10322879.538870307, 
O00182,23851646.59170763, 
O00186,7796151.171963913, 
O00192,2373561.950065977, 
O00193,5916213.798929781, 
O00203,27072956.710470326, 
O00213,1813271.4596351613, 
O00214,921109.3783999627, 
O00217,552862.4796698111, 
O00231,37951362.89944498, 
O00232,27257748.50069657, 
O00233,12206543.844291095, 
O00255,1323773.9887779078, 
O00264,61664249.14927496, 
O00267,10844903.309021885, 
