Protein,Protein_quant,ProteinName
A0A075B6I0,31509620.02300384, 
A0A075B6J9,25064089.481752887, 
A0A087WSY6,32093705.347886678, 
A0A087WW87,328940146.7540488, 
A0A0A0MS15,90797340.57431155, 
A0A0B4J1U7,174048936.8170863, 
A0A0B4J1V0,13612218.466375344, 
A0A0B4J1V2,8842073.799272582, 
A0A0B4J1V6,8253024.451116086, 
A0A0B4J1X5,271698031.1340932, 
A0A0B4J1Y8,8273725.069729282, 
A0A0B4J1Y9,125030741.01347472, 
A0A0B4J2D5,17407358.460250985, 
A0A0B4J2F0,13314107.205983639, 
A0A0B4J2H0,24709322.35812623, 
A0A0C4DH25,56478295.77493486, 
A0A0C4DH31,16966721.83662989, 
A0A0C4DH36,24073720.0016223, 
A0A0C4DH38,21525202.757631313, 
A0A0C4DH67,26490827.262911845, 
A0A0C4DH68,46194020.405484274, 
A0A0C4DH72,22844637.679165598, 
A0A0J9YX35,30423681.426559705, 
A0A0J9YX94,4869856.670920396, 
A0A0J9YXQ4,3431906.170609541, 
A0A0J9YXX1,24596522.285166338, 
A0AV96,8699065.23348871, 
A0AVF1,524526.6491347109, 
A0AVT1,56363877.16420629, 
A0FGR8,45492479.38976848, 
A0JNW5,403065.6720969241, 
A0MZ66,8043471.727742998, 
A0PJW8,1699563.5210925164, 
A0PJZ3,1062173.679929049, 
A0PK00,7554275.67487178, 
A1A4S6,7126563.60352126, 
A1A5D9,540623.9397308767, 
A1IGU5,4203870.233555786, 
A1L020,3826855.178593369, 
A1L0T0,21942497.448077366, 
A1L188,2765328.273997141, 
A1L390,11371800.53874923, 
A1L4H1,4014611.026827286, 
A1X283,60390139.03147857, 
A1XBS5,2851797.8257123567, 
A2A288,3403595.7591932425, 
A2RRP1,35127250.03800243, 
A2RTX5,22682494.827685032, 
A2RUB1,39049977.24320806, 
A2RUC4,9704237.81420327, 
A2RUS2,7050380.773872288, 
A3KMH1,26602346.127521973, 
A3KN83,15745875.949883865, 
A4D0V7,1180321.6099577313, 
A4D126,338546.0617804824, 
A4D161,2793599.089015017, 
A4D1E9,1880675.6804818106, 
A4D1P6,48038631.72011362, 
A4D2B0,2671529.7199305864, 
A4D2P6,6228647.132010507, 
A4FU69,19070821.926422257, 
A4UGR9,17490860.445442084, 
A5A3E0,7615291.709654998, 
A5D8V6,2064049.1092092784, 
A5YKK6,53237205.44788241, 
A5YM72,874859.2394019096, 
A6NCE7,17219151.384164162, 
A6ND91,5658218.798200199, 
A6NDB9,6263294.385525728, 
A6NDG6,21616982.463043164, 
A6NDU8,10741968.679540792, 
A6NED2,4782533.005008731, 
A6NEE1,33454934.895196013, 
A6NFI3,1353885.6732667356, 
A6NFN3,4994447.183308096, 
A6NFQ2,8667846.182045305, 
A6NHL2,5005158.453594572, 
A6NHQ2,23667212.668734264, 
A6NHR9,21896737.67446564, 
A6NHZ5,2922528.867195878, 
A6NI79,43955284.08510157, 
A6NI86,107152517.54056962, 
A6NIH7,23758182.883711018, 
A6NK89,13032257.393100107, 
A6NKD2,2720959.916103651, 
A6NKD9,8015304.296732124, 
A6NKG5,54430243.80809487, 
A6NL88,459414005.3210638, 
A6NLP5,3118679.2019956363, 
A6NMB1,245978616.62983316, 
A6NMZ7,58093788.07330558, 
A6ZKI3,5393639.965654742, 
A7E2V4,7673966.507516526, 
A7KAX9,4605984.7976692645, 
A8CG34,3372677.8566905246, 
A8K2U0,52460153.172301225, 
A8K7I4,12078999.540096328, 
A8MTJ3,10950476.271924708, 
A8MVW0,41271568.680869475, 
A8MVX0,1972991.039678797, 
A8MXV4,18617133.251957197, 
A8MZF0,1044412.6364994341, 
A8TX70,3409120.8704200294, 
A9UHW6,2313570.914916875, 
B0I1T2,10751021.416754356, 
B2RTY4,57300227.52708933, 
B7ZAQ6,5821372.781605062, 
B7ZW38,4530755.590411117, 
B8ZZ34,9136925.047637576, 
B9A064,54221701.28630435, 
C4AMC7,52522345.34729294, 
C9J069,9204215.712743845, 
C9JJH3,34430713.9068738, 
C9JLR9,2551946.830963351, 
C9JLW8,24618569.147101752, 
C9JTQ0,6582120.0861597005, 
DECOY_O95622,1591325.644898829,
DECOY_P49757,4352300.358932636,
DECOY_P61966,6735643.4348206725,
DECOY_Q8TBG4,1898625.5449606574,
DECOY_Q9Y580,10519790.983993147,
E9PAV3,275575650.95122504, 
E9PRG8,18711934.51683049, 
L0R6Q1,5048618.851384867, 
L0R819,9000427.498199675, 
O00115,6832348.391234723, 
O00116,14495883.440377697, 
O00124,5524231.24634427, 
O00139,41239356.78325277, 
O00142,26705162.016749915, 
O00148,45167727.64552373, 
O00151,167312741.79888332, 
O00154,148561442.59868696, 
O00159,288317745.14223266, 
O00160,35232073.63293519, 
O00161,31257169.484926343, 
O00165,7388960.752714759, 
O00170,46173536.27218018, 
O00178,18126605.39664957, 
O00180,3012031.8387653315, 
O00182,43999788.67721915, 
O00186,32546687.087479834, 
O00187,6240070.181027415, 
O00189,1356570.2048273303, 
O00192,10663418.728452763, 
O00193,7233609.497883901, 
O00203,68009576.25403562, 
O00213,12630899.965509538, 
O00214,8594038.678081578, 
O00221,1977416.2644144075, 
O00231,79627795.89699805, 
O00232,39712887.47509314, 
O00233,27328664.759543028, 
O00244,17565020.31967327, 
O00264,779899498.8596894, 
O00267,26908953.86210154, 
O00268,3095372.012098699, 
O00273,11651534.939906409, 
O00291,27022583.872382045, 
O00292,6516830.917410439, 
O00299,287696640.4072655, 
O00303,126884063.0674062, 
O00308,4633873.054471603, 
O00329,760699.9516667253, 
O00330,49429145.721809745, 
O00339,51695537.03385489, 
O00391,102545622.41159481, 
O00400,1966954.701513801, 
O00401,39558062.81096518, 
O00410,65401761.32384838, 
O00411,19561610.940397233, 
O00418,6201323.898264837, 
O00422,10084421.739753492, 
O00423,18358505.22671375, 
O00425,1744466.2999112497, 
O00429,50109899.74207348, 
O00442,13565135.845053298, 
O00443,9217022.226999275, 
O00451,2127876.3259506365, 
O00458,10745599.90170858, 
O00459,15670073.613804584, 
O00461,29992950.24379187, 
O00462,2225647.4403898544, 
O00468,86802466.82402667, 
O00469,7085684.300833542, 
O00470,48266715.5821474, 
O00471,23373990.879717197, 
O00478,5109134.238037264, 
O00479,8425229.169630967, 
O00483,8056641.152506573, 
O00487,92794924.67384093, 
O00488,6123211.987349503, 
O00499,42002798.775511615, 
O00505,17322719.92704588, 
O00506,4136186.5217973995, 
O00515,14037543.870265536, 
O00522,4822216.135063768, 
O00533,2186724.4685624484, 
O00534,36205800.259871304, 
O00541,15171136.401907053, 
O00562,14046739.432491532, 
O00566,11991011.564086795, 
O00567,104478429.29889771, 
O00571,227401373.336628, 
O00584,14950959.615391063, 
O00592,37053986.51614461, 
O00602,17610163.817758687, 
O00625,691188.0165721738, 
O00629,64278783.80843966, 
O00635,8642226.577679075, 
O00712,22722220.507345535, 
O00743,8391611.272684319, 
O00748,6725177.671191965, 
O00750,23427335.00481422, 
O00754,60498978.00355101, 
O00762,1801237.4873589969, 
O00763,12953528.641578987, 
O00764,73037779.32678442, 
O14497,26361048.79689697, 
O14498,85093782.9112324, 
O14513,25817903.419578545, 
O14525,1660827.2399219163, 
O14526,12036799.65171377, 
O14530,4326757.348883361, 
O14531,334529011.3945298, 
O14544,1458207.9425643997, 
O14558,1539257668.6639535, 
O14559,893177.930593078, 
O14561,9678509.742052516, 
O14562,24155709.842885803, 
O14576,8433076.246347306, 
O14578,8112480.334761185, 
O14579,93941422.94193783, 
O14593,1287912.7617537307, 
O14594,998108.1942317602, 
O14613,7804004.193495266, 
O14617,37459565.2838982, 
O14618,54218834.59751811, 
O14639,14260222.142343208, 
O14641,17458451.655787468, 
O14646,9447795.61540289, 
O14647,12960696.754516782, 
O14653,17620931.223335076, 
O14656,5822167.918433872, 
O14657,7295696.806313663, 
O14662,6807416.604689516, 
O14672,36304620.45137593, 
O14678,4066062.8651547837, 
O14681,2479622.459815951, 
O14682,773425.2207598868, 
O14683,5093405.932923721, 
O14684,15198452.65268123, 
O14686,6055503.046902182, 
O14727,34077724.1174419, 
O14730,8310225.783941579, 
O14732,6899789.022362213, 
O14733,5530098.158776084, 
O14734,3027882.7009231215, 
O14735,17231968.902545214, 
O14737,107672334.4414453, 
O14744,25002726.13133768, 
O14745,27330295.954413667, 
O14756,4295667.445601136, 
O14757,14801279.440382421, 
O14764,17708378.204765093, 
O14772,6201660.780031007, 
O14773,241896106.90887898, 
O14775,8122729.449076598, 
O14776,46936610.8414651, 
O14777,3385418.527216044, 
O14786,16243081.156420004, 
O14787,16708707.494775958, 
O14791,27783056.351522774, 
O14795,2063701.4485757116, 
O14802,5755339.937158551, 
O14807,3192749.5224088607, 
O14818,115320176.63650507, 
O14827,7845727.391254651, 
O14828,23436577.24649476, 
O14841,31622424.109900407, 
O14867,6944584.547255893, 
O14874,12772527.32432578, 
O14879,13544919.168000627, 
O14880,2824506.963000496, 
O14896,15789927.153817425, 
O14907,178544196.70812124, 
O14908,13289632.212239483, 
O14910,8914210.8122113, 
O14920,23966917.062429026, 
O14924,91714618.74562825, 
O14925,4677232.1336595565, 
O14929,34893846.63349661, 
O14933,11076949.953262005, 
O14936,57578465.088664934, 
O14939,2016913.9912812938, 
O14949,59430306.491754994, 
O14950,1102823924.75267, 
O14964,65915376.47697331, 
O14972,6237897.323255987, 
O14974,114892878.67134883, 
O14975,2728794.270037404, 
O14976,18489595.00685513, 
O14979,198418326.1799557, 
O14980,100347201.41166994, 
O14981,21070168.252149507, 
O14983,665586.5836049881, 
O15013,54057284.212664835, 
O15014,15402738.431819065, 
O15020,28613410.85864032, 
O15021,2786414.4986446453, 
O15027,24179729.76317406, 
O15031,40737818.33241928, 
O15037,1741098.364847469, 
O15040,17852488.694573343, 
O15041,994188.5939668795, 
O15042,57907516.129445456, 
O15047,15894692.140001897, 
O15049,524042.220234261, 
O15061,41678052.324497655, 
O15066,649233699.7038639, 
O15067,51190857.71637441, 
O15068,3124193.432110348, 
O15069,4830502.879188334, 
O15075,8323599.024771906, 
O15085,10625375.130635168, 
O15091,3499715.1800125455, 
O15111,13842489.925588222, 
O15116,19233321.992012016, 
O15117,2785489.0810115645, 
O15118,8089999.163904721, 
O15119,4363856.819876721, 
O15120,9246874.560342392, 
O15121,7951900.596983665, 
O15126,6631236.149791492, 
O15127,36555252.58750871, 
O15143,137829859.2803858, 
O15144,199681700.4118708, 
O15145,272780809.08840954, 
O15156,5932082.409167589, 
O15160,40415373.5942837, 
O15162,2230643.9512213003, 
O15164,11402946.071274245, 
O15169,2425088.3134331154, 
O15173,90462990.81117563, 
O15195,2299180148.165598, 
O15211,16494327.34395942, 
O15212,59255542.20782347, 
O15213,12717058.28649304, 
O15226,7945886.903101216, 
O15228,15869898.668573849, 
O15229,3234944.3797033965, 
O15230,72583334.1504498, 
O15231,64667975.096225135, 
O15234,12292157.390454188, 
O15239,9050180.00032546, 
O15247,41699020.79871607, 
