Protein,Protein_quant,ProteinName
A0A075B6I0,22425661.040514193, 
A0A075B6I9,3924457.835638649, 
A0A087WSX0,12231464.780948201, 
A0A087WSY6,48057258.92783178, 
A0A087WW87,232606104.81640217, 
A0A0A0MS15,48492634.60024965, 
A0A0B4J1U7,6053207.988175749, 
A0A0B4J1V0,5643514.994773802, 
A0A0B4J1V2,7390227.937008906, 
A0A0B4J1X5,214109449.6923293, 
A0A0B4J1Y8,13013292.035816317, 
A0A0B4J1Y9,2073670.8194407183, 
A0A0B4J2D5,51607929.61509847, 
A0A0B4J2H0,28693003.76839971, 
A0A0C4DH25,46407214.93977225, 
A0A0C4DH36,7604829.321122835, 
A0A0C4DH38,32052343.417742442, 
A0A0C4DH43,21757272.29410692, 
A0A0C4DH67,17287588.097792998, 
A0A0C4DH68,30681888.11582758, 
A0A0C4DH72,11733061.302374326, 
A0A0J9YX94,4159949.534889189, 
A0A0J9YXQ4,2008529.0582309715, 
A0A0J9YXX1,772511.0425856004, 
A0AV96,30946496.561025932, 
A0AVF1,6331810.012612112, 
A0AVT1,32489707.46758394, 
A0FGR8,53487339.000243135, 
A0JNW5,809878.1325585449, 
A0M8Q6,16864197.811372794, 
A0MZ66,30584659.189516194, 
A0PJW8,1719116.9292544741, 
A0PJZ3,650610.4550563031, 
A1A4S6,10226100.303154, 
A1A5B4,5263034.577414384, 
A1A5D9,843600.0331818694, 
A1IGU5,5021933.647407031, 
A1L0T0,26241828.696512274, 
A1L170,2952335.357652697, 
A1L390,3380246.6793294894, 
A1L4H1,5848471.442597159, 
A1X283,27349521.461686093, 
A1Z1Q3,3124469.2806176636, 
A2A288,2822234.475474706, 
A2RRP1,25578733.345121153, 
A2RTX5,7039126.906389965, 
A2RUB1,39813882.35883436, 
A2RUC4,9556620.139603427, 
A2RUS2,4239494.8411804885, 
A3KMH1,24176986.785494506, 
A3KN83,16117698.387196139, 
A4D0V7,14419349.318531772, 
A4D1E9,5434763.741037528, 
A4D1P6,17057016.337404948, 
A4D1S5,3835195.762241329, 
A4D2B0,3867088.8678560196, 
A4D2P6,5482898.076746709, 
A4FU01,3251032.6450763172, 
A4FU69,12732934.45026165, 
A4UGR9,18390953.249942023, 
A5A3E0,80392336.22961625, 
A5D8V6,1276502.4293766196, 
A5YKK6,19402565.594889536, 
A5YM72,4924377.742744011, 
A6NCE7,13461440.44509732, 
A6NDB9,13698606.848123511, 
A6NDG6,7786624.75132202, 
A6NDU8,14265699.521578742, 
A6NED2,2472559.699992696, 
A6NFI3,1325169.3168976645, 
A6NFN3,1055926.5081284912, 
A6NFQ2,1660132.8785781038, 
A6NHQ2,1651556.911109166, 
A6NHR9,43047591.75085187, 
A6NI28,2288992.1815751824, 
A6NIH7,12388835.961595701, 
A6NJ78,7993512.154629676, 
A6NK89,3126037.8408787916, 
A6NKD9,24341248.189597342, 
A6NKG5,57468528.26827676, 
A6NL88,533603486.22203517, 
A6NLP5,789841.7089898811, 
A6NMB1,93183674.02718608, 
A6NMY6,16460988.339519724, 
A6NMZ7,19152052.8036788, 
A6ZKI3,1773923.3497553226, 
A7E2V4,3500848.865107366, 
A8CG34,3599554.911138246, 
A8K2U0,25615117.81947121, 
A8K7I4,20435020.18626241, 
A8MPS7,4987405.616674196, 
A8MU46,2225246.017272336, 
A8MVW0,1611858.398690928, 
A8MVX0,749522.1564240583, 
A8MXV4,16947512.699163668, 
A8MZF0,1053826.6877174554, 
