Protein,Protein_quant,ProteinName
A0A075B6K4,6789583.44054258, 
A0A075B767,23093166.32527367, 
A0A087WSX0,9276218.15973774, 
A0A087WW87,7737530.744773483, 
A0A0A0MS15,12215702.108618526, 
A0A0B4J1V1,11173347.183362918, 
A0A0B4J1Y9,4325395.286781494, 
A0A0B4J2D5,57385120.559816696, 
A0A0B4J2F0,6346723.022497807, 
A0A0C4DH25,9800735.561014667, 
A0A0C4DH36,1260162.0507051174, 
A0A0J9YXQ4,2460978.114524007, 
A0AV96,38034099.884584814, 
A0AVF1,2165006.683203181, 
A0AVT1,42811633.39272777, 
A0FGR8,69133598.66708939, 
A0JNW5,518946.637837795, 
A0M8Q6,2172867.484810732, 
A0MZ66,31043262.726033732, 
A1A4S6,1564589.306239226, 
A1IGU5,4858329.021644299, 
A1L0T0,16353350.40052006, 
A1L390,1506353.1807337415, 
A1X283,38352715.63595951, 
A1Z1Q3,2325350.5221244064, 
A2A288,707912.3322530587, 
A2RRP1,5736766.349936755, 
A2RTX5,2012822.167353816, 
A2RUB1,17070229.3650972, 
A2RUB6,4252420.883378919, 
A2RUC4,1136398.5556801122, 
A2RUS2,12653459.571354182, 
A3KMH1,151375455.16471064, 
A3KN83,5680896.196963605, 
A4D126,406877.91617702274, 
A4D1E9,7196442.208339943, 
A4D1P6,17838908.28955485, 
A4D1U4,5206171.286926615, 
A5A3E0,20846431.770179417, 
A5D8V6,14781365.050423644, 
A5D8W1,33062561.45228282, 
A5YKK6,28348661.901864633, 
A6NCE7,24016735.973415177, 
A6NCS6,3501279.649241065, 
A6NDG6,16426020.185572065, 
A6NDU8,11210574.373720493, 
A6NEE1,2515916.023560002, 
A6NHL2,2995951.460612922, 
A6NHQ2,1256134.311054239, 
A6NHR9,13018667.97931584, 
A6NI28,1211578.8036745004, 
A6NIH7,3315252.5563199627, 
A6NK89,2500698.5115657146, 
A6NKD2,2238659.150070821, 
A6NKD9,3852595.736788015, 
A6NKN8,155896.3409298984, 
A6NLP5,4192897.0435173376, 
A6NMB1,6285644.053706516, 
A6NMY6,1841668.4388682165, 
A6NMZ7,9183069.871324196, 
A7E2V4,2749953.6988191744, 
A8K2U0,5635032.671052734, 
A8K7I4,11989858.200895362, 
A8MPS7,2074768.6625391492, 
A8MU46,3810212.2081080414, 
A8MVW0,725935.9418972197, 
A8MW92,2937881.0336001413, 
A9UHW6,6595561.771232016, 
B0I1T2,6587028.74418222, 
B2RTY4,2727403.7559820423, 
B4DXR9,4400820.569274798, 
B7ZW38,23567167.64770287, 
C4AMC7,24383368.717895906, 
C9J069,5425069.469533462, 
C9JLW8,10915884.712561514, 
DECOY_P20815,1921335.6862533323,
E9PAV3,214763396.51012695, 
E9PRG8,8250037.4877352035, 
L0R6Q1,6099028.193738661, 
L0R819,4649824.095140776, 
O00115,69059304.43823054, 
O00116,13339051.56761769, 
O00139,8569993.853076926, 
O00142,6320550.245516633, 
O00148,20005210.71846531, 
O00151,294350894.1624969, 
O00154,73671453.72328538, 
O00159,184842453.43819183, 
O00160,15197885.605302813, 
O00161,76017558.83610767, 
O00165,6487005.067381795, 
O00170,32613913.029950336, 
O00178,14747569.787930101, 
O00180,988539.9583832975, 
O00186,16238449.199531436, 
O00192,1473223.600378643, 
O00193,24816113.71770656, 
O00203,19391307.49364024, 
O00213,1781499.3166193834, 
O00214,12784682.784193499, 
O00217,14550335.164984338, 
O00231,91484630.97874512, 
O00232,40064508.16297059, 
O00233,72098533.16669273, 
O00244,14348990.954059718, 
O00257,11847538.413553104, 
O00264,149892599.22230592, 
O00267,20864924.87854026, 
O00268,5438059.328350037, 
O00273,28973846.01694288, 
O00291,8747632.29278882, 
O00299,219553499.46875358, 
O00303,62479992.2650065, 
O00308,2338324.7645022115, 
O00329,703975.9356332317, 
O00330,28021442.25914012, 
O00338,11655182.509972258, 
O00339,52177375.56418227, 
O00391,22487965.664017286, 
O00399,5311367.375965037, 
O00400,1946189.1637963497, 
O00401,32287060.34617266, 
O00410,13552907.524627965, 
O00411,4283794.4022746505, 
O00418,2474573.9871934582, 
O00422,29656249.654491436, 
O00423,64989577.96074158, 
O00425,26105027.428684384, 
O00429,84386300.69688122, 
O00442,14597996.938207943, 
O00443,16981795.483374927, 
O00459,3509022.716241137, 
O00461,12323277.876219012, 
O00462,1412530.5413507398, 
O00468,22870131.165874377, 
O00469,8094723.787609655, 
O00470,1585711.7970298636, 
O00471,5528754.254738789, 
O00478,1859118.7866357723, 
O00479,28925690.174554605, 
O00483,32800987.481658228, 
O00487,16881854.658295643, 
O00499,34029353.12870904, 
O00505,7857146.200784138, 
O00506,78949.33772920578, 
O00515,97460960.69688122, 
O00519,926117.800177033, 
O00522,1238493.7870195275, 
O00534,37872327.81637584, 
O00541,27228274.327743936, 
O00559,2375730.4944782653, 
O00560,1080644.4487640522, 
O00562,1313891.4882025542, 
O00566,10869376.447348878, 
O00567,57717817.19190161, 
O00571,162659468.48661852, 
O00584,21827946.099137444, 
O00602,4252929.583589879, 
O00625,19445037.07993155, 
O00629,39040856.69879974, 
O00635,2803553.8647903027, 
O00743,7765809.129902602, 
O00748,71210720.45397025, 
O00750,2843864.5512455925, 
O00754,46385196.41546825, 
O00757,3297979.90386238, 
O00762,5230620.609362716, 
O00763,1231226.4652319585, 
O00764,49019571.71931713, 
O14497,312781092.9654235, 
O14498,3057046.2757027517, 
O14523,3424343.4372198484, 
O14525,6056169.585388564, 
O14530,11507517.944987573, 
O14531,49416595.35313963, 
O14545,890063.089957909, 
O14548,6574683.580956902, 
O14558,355826382.13916874, 
O14559,7664356.978033878, 
O14561,16922642.80277638, 
O14562,16351289.552325068, 
O14576,1766071.7344561634, 
O14579,70127175.05775073, 
O14613,2904293.1298859026, 
O14617,31494951.69770009, 
O14618,34228984.21536333, 
O14639,25542415.15198929, 
O14646,8173029.289885689, 
O14647,11348320.644974578, 
O14653,10918412.186283302, 
O14657,1098814.5846109563, 
O14662,1712233.6211330465, 
O14672,14349589.559416108, 
O14681,1151164.9380659394, 
O14682,64532.18030592203, 
O14683,9434394.424866207, 
O14686,994300.3630397753, 
O14727,5185771.353139389, 
O14730,1655871.9267863645, 
O14732,8895944.78392841, 
O14733,4035941.907146951, 
O14734,625499.7600461764, 
O14735,3656676.9521663287, 
O14737,55956333.444297165, 
O14744,46117376.17790301, 
O14745,93066704.09482634, 
O14757,4959222.617443229, 
O14764,796300.5203336853, 
O14770,7800098.137769182, 
O14772,2266475.3766967007, 
O14773,90217375.85534199, 
O14776,77124818.6271357, 
O14777,13995181.073792517, 
O14786,1003659.2342803724, 
O14795,2951959.3783808122, 
O14807,1725079.4862617736, 
O14818,97553163.46145837, 
O14827,1985005.0715928664, 
O14828,30504644.97166469, 
O14832,935551.8302509785, 
O14841,18735811.89805732, 
O14867,4247049.722494239, 
O14879,14315742.002770506, 
O14896,10715809.74283675, 
O14907,21434692.25181029, 
O14908,26619665.070908003, 
O14910,50254467.44602271, 
O14920,2840829.8445301154, 
O14924,3178733.6134685334, 
O14929,4784615.687836503, 
O14933,31628460.39086485, 
O14936,22746436.517997622, 
O14949,2808441.807422882, 
O14950,487507332.8522295, 
O14958,3283435.9576652045, 
O14964,40801573.320789896, 
O14972,2013174.243447159, 
O14974,150543079.41301206, 
O14975,9234274.979349375, 
O14976,16580434.101430992, 
O14979,160075840.3571688, 
O14980,76048651.0012487, 
O14981,7030421.539666144, 
