Protein,Protein_quant,ProteinName
A0A075B6I0,3296610.8294936744, 
A0A075B767,8316181.93991708, 
A0A087WSX0,2658261.7244922263, 
A0A087WSY6,31815663.652544178, 
A0A087WW87,69420515.89691421, 
A0A0A0MS15,13946662.822950073, 
A0A0B4J1V1,2840452.7534937384, 
A0A0B4J1V6,2279494.5189088257, 
A0A0B4J1X5,91879384.78011674, 
A0A0B4J1Y8,4177276.181896836, 
A0A0B4J1Y9,2505689.0994146126, 
A0A0B4J2D5,86156094.74911454, 
A0A0B4J2F0,16864010.389455527, 
A0A0C4DH25,13349542.18808153, 
A0A0C4DH29,11265042.231109424, 
A0A0C4DH36,13383627.864961024, 
A0A0C4DH68,6682559.034180321, 
A0A0J9YX35,18185098.02455939, 
A0A0J9YX94,1865657.244289558, 
A0AV96,12304086.938592069, 
A0AVF1,4686197.666497479, 
A0AVT1,25119774.98257561, 
A0FGR8,22558422.771447856, 
A0JNW5,2167711.6024858668, 
A0M8Q6,3196718.417841718, 
A0MZ66,30975471.59764667, 
A0PJW8,2225985.491433453, 
A1A4S6,3418730.603285418, 
A1IGU5,7281371.2120924005, 
A1L0T0,14732125.88227988, 
A1L390,738794.1551953589, 
A1X283,11768812.067631783, 
A1Z1Q3,1950349.6749616165, 
A2RRP1,27091104.99222946, 
A2RTX5,3363855.8628783696, 
A2RUB1,6392793.449915077, 
A2RUC4,5420232.0378614515, 
A2RUS2,4529947.926862784, 
A3KMH1,42048981.932472534, 
A3KN83,19407250.697012115, 
A4D0V7,33552681.556218475, 
A4D126,1012050.6344429763, 
A4D1E9,1566986.3531799337, 
A4D1P6,13275618.061231451, 
A4D1S5,5145511.581939295, 
A4D2P6,3841302.5804937175, 
A4FU69,27180233.05581708, 
A4UGR9,465155.0699357195, 
A5A3E0,2703729.5229704403, 
A5D8V6,7832797.801354196, 
A5YKK6,25177405.478324875, 
A5YM72,6232762.436963347, 
A6NCE7,24370874.596085984, 
A6NCS6,1090256.860523776, 
A6ND36,4292470.245587369, 
A6NDB9,9761702.395345949, 
A6NDG6,4715284.833884062, 
A6NEE1,1125405.9686183375, 
A6NFN3,9387466.556228321, 
A6NFQ2,1170404.956581858, 
A6NHQ2,2801781.371332815, 
A6NHR9,26983837.89616882, 
A6NI86,31816856.493455753, 
A6NIH7,9402415.50138035, 
A6NKD2,1073881.814979416, 
A6NKD9,773213.4149617592, 
A6NKG5,46688400.263640195, 
A6NL88,235925698.4490843, 
A6NLP5,3648708.7858057497, 
A6NMB1,187115877.2156567, 
A6NMZ7,19423899.71129238, 
A6ZKI3,920967.6662795132, 
A7E2V4,2261056.613228283, 
A7KAX9,3265838.783807872, 
A8CG34,963176.2756253011, 
A8K2U0,61798542.1332463, 
A8K7I4,11352354.524081543, 
A8MVW0,1731169.7922183205, 
A8MVX0,3059109.3380197682, 
A8MXV4,34850889.643813275, 
A8TX70,3416068.8704040153, 
A9UHW6,2455959.057060886, 
B0I1T2,8723102.762184437, 
B1AK53,943215.7630568139, 
B2RBV5,1935089.3952858283, 
B2RTY4,6215583.181284655, 
B4DXR9,2432898.2134960596, 
B7ZAQ6,6792531.231927088, 
B9A064,9196035.761894027, 
C4AMC7,16229596.833567752, 
C9J069,10224035.492219452, 
C9JJH3,165467159.76137146, 
C9JLR9,2011330.8495947907, 
C9JLW8,6608805.568689793, 
C9JRZ8,2208790.0183995627, 
C9JTQ0,1942896.0342889894, 
DECOY_O00329,427329.8996626301,
DECOY_P63096,4479332.1567307105,
DECOY_Q96H78,1944952.9864952697,
E9PAV3,160198792.59740445, 
E9PRG8,15702296.944949225, 
L0R6Q1,10352008.6752499, 
L0R819,3895020.398419325, 
L0R8F8,1997386.2142211813, 
O00115,12707368.711653363, 
O00116,12848732.07663551, 
O00124,3604552.259657248, 
O00139,18770290.198881783, 
O00142,27664291.47056482, 
O00148,3021754.9072350203, 
O00151,82338314.06496516, 
O00154,8148568.001314014, 
O00159,126506241.46067144, 
O00160,11091782.973860491, 
O00161,20989846.411750797, 
O00165,13868933.796563067, 
O00168,2851326.6739074336, 
O00170,23520664.45652949, 
O00178,17041786.04229038, 
O00180,852191.9529920337, 
O00182,14499006.192502495, 
O00186,21428852.408216245, 
O00189,1071945.514946895, 
O00192,2561977.6672072625, 
O00193,24673907.683873717, 
O00194,5412559.0803700425, 
O00203,60774347.764688805, 
O00204,6384427.982030292, 
O00213,5129757.060660566, 
O00214,4823291.710714042, 
