Protein,Protein_quant,ProteinName
A0A024RBG1,1183614.2778234999, 
A0A075B6I0,19636971.145302895, 
A0A075B767,12684059.393594597, 
A0A087WW87,106791061.78912343, 
A0A0A0MS15,17885757.961892325, 
A0A0B4J1U7,8891756.8642104, 
A0A0B4J1V1,7381903.841695575, 
A0A0B4J1X5,64984947.022431985, 
A0A0B4J1Y8,14351018.69582268, 
A0A0B4J1Y9,4744558.866335653, 
A0A0B4J2D5,53412210.530327976, 
A0A0B4J2H0,5832908.867208969, 
A0A0C4DH25,32200733.50455538, 
A0A0C4DH29,400501.9975384501, 
A0A0C4DH31,6322616.4642808875, 
A0A0C4DH34,1819546.8011526468, 
A0A0C4DH36,14670195.124217775, 
A0A0C4DH38,10920843.350724388, 
A0A0C4DH68,5665230.9408765305, 
A0A0C4DH72,7887772.124367683, 
A0A0J9YX35,15124087.734145083, 
A0A0J9YXQ4,3290333.96950905, 
A0AV96,27941940.45731954, 
A0AVF1,7408216.7569866115, 
A0AVT1,33391181.49578221, 
A0FGR8,25931679.082747605, 
A0JNW5,1929751.866282273, 
A0M8Q6,8795547.843358776, 
A0MZ66,42363472.62017749, 
A0PJW8,1490010.1786259077, 
A0PJZ3,43094.66131589006, 
A1A4S6,3853855.951520906, 
A1A5D9,4654957.622721386, 
A1IGU5,6764546.985024427, 
A1L0T0,24202422.55766473, 
A1L188,2476115.482277513, 
A1L390,8307188.348607052, 
A1X283,12009124.300993253, 
A1Z1Q3,675561.756366074, 
A2RRP1,17080775.61190199, 
A2RTX5,16156367.720870413, 
A2RUB1,70702543.72849779, 
A2RUB6,7205149.385754358, 
A2RUC4,5354349.150825701, 
A2RUS2,1333976.0565586225, 
A3KMH1,30773845.29702287, 
A3KN83,9869473.140472587, 
A4D1E9,4518148.647977317, 
A4D1P6,16592419.294542104, 
A4D1S5,2136801.4930840656, 
A4FU01,2292897.62864905, 
A4FU69,19883058.413694475, 
A5A3E0,193092755.62543055, 
A5D8V6,17847055.774683155, 
A5YKK6,20593250.790687945, 
A5YM72,2519900.5653328756, 
A6NC98,19406792.23040187, 
A6NCE7,34960300.77001577, 
A6ND36,5866205.760623554, 
A6NDB9,28594950.61672716, 
A6NDG6,16303813.77629398, 
A6NDU8,7676905.097033231, 
A6NEE1,5610991.378489772, 
A6NEL2,2003637.9080028608, 
A6NFQ2,4818179.276254576, 
A6NHQ2,2182582.154600875, 
A6NHR9,23902457.690230183, 
A6NIH7,6618744.920339505, 
A6NIK2,6612319.151235597, 
A6NK58,3438707.65428493, 
A6NK89,4805079.9197378885, 
A6NKD2,2032297.9007411632, 
A6NKD9,3215603.739046787, 
A6NKG5,36860168.21846635, 
A6NKL6,2211779.1111558597, 
A6NL88,232706594.94261342, 
A6NLP5,2141187.2000349103, 
A6NMZ7,11031984.02231292, 
A6ZKI3,2564288.446567821, 
A7E2V4,1451264.2544125498, 
A7KAX9,984471.3305598827, 
A8CG34,1133832.5081200863, 
A8K2U0,15421485.801958408, 
A8K7I4,7015700.305649014, 
A8MU46,3130252.9785968806, 
A8MVW0,3011565.314098158, 
A8MXV4,11704913.982600074, 
A8TX70,7672226.426004207, 
B0I1T2,14232716.265796097, 
B1AJZ9,34596396.40861757, 
B1AK53,3795396.8995218687, 
B2RTY4,3771666.2409553356, 
B4DXR9,3916092.857273801, 
B7ZAP0,4908576.160458652, 
B7ZW38,5714910.251277666, 
C4AMC7,19333341.769165013, 
C9J069,7060984.147222203, 
C9JJH3,382113601.8442035, 
C9JLR9,929650.0214821082, 
C9JLW8,13441598.30779412, 
C9JRZ8,2009094.3192015649, 
C9JTQ0,11464904.175812352, 
DECOY_P04818,404524.73409034376,
DECOY_P08590,1333847.9488466904,
DECOY_P20815,2511171.432054728,
DECOY_Q32NC0,943924.5772539992,
DECOY_Q5JTB6,1788292.9412708122,
DECOY_Q96H78,1187862.7069106395,
E9PAV3,180271244.08340716, 
E9PRG8,19214863.878881782, 
L0R6Q1,10238956.245455937, 
L0R819,2996642.311377645, 
L0R8F8,4522093.235607651, 
O00115,31951454.354527593, 
O00116,35883047.22508557, 
O00139,45875488.82578716, 
O00142,27635175.480843354, 
O00148,40719366.24685348, 
O00151,191414123.568528, 
O00154,21346464.74245004, 
O00159,119111534.39894095, 
O00160,35681948.40644801, 
O00161,28023689.118509464, 
O00165,7684778.9354953505, 
O00168,836694.9708308933, 
O00170,40671041.68392568, 
O00178,11123015.746161794, 
O00180,2854578.1345385616, 
O00182,71187523.47451496, 
O00186,23943412.316874858, 
O00189,4460155.382458549, 
O00192,6144163.909419444, 
O00193,14514339.398418501, 
O00194,2933655.393945455, 
O00203,70847940.15600131, 
O00213,4697800.707595706, 
O00214,10254799.661562923, 
O00217,24196630.298755217, 
O00221,5526507.175776412, 
O00231,64892440.9064229, 
O00232,40079585.95116854, 
O00233,24988798.533681933, 
O00244,9387822.526021743, 
O00255,3677005.882670663, 
O00264,174607080.35630822, 
O00267,27348153.207164936, 
O00268,1434808.1252673566, 
O00273,25460987.00334481, 
O00287,4505195.037752391, 
O00291,13403040.416354656, 
O00292,5111892.253403771, 
O00299,844488111.0285546, 
O00303,73820872.7271192, 
O00308,5232282.684397783, 
O00311,1093819.9851220695, 
O00327,781202.4783138753, 
O00329,717078.1527348125, 
O00330,26489771.114324763, 
O00338,4596501.449173199, 
O00339,27117284.536465425, 
O00391,55496874.98632412, 
O00399,5163649.601604633, 
O00401,19680267.359790485, 
O00410,54000629.98395931, 
O00411,10976669.320690067, 
O00418,23282143.476415154, 
O00422,24421721.63857759, 
O00423,6705400.913273124, 
O00425,59517764.41168173, 
O00429,54197797.41532712, 
O00442,16820697.956289522, 
O00443,10093260.396069307, 
O00445,4399360.096546781, 
O00458,6962384.058533878, 
O00459,9827375.813718151, 
O00461,224738706.05788213, 
O00462,12919791.714671543, 
O00468,110520063.22406718, 
O00469,48470330.52766577, 
O00470,17455855.180342857, 
O00471,19520772.038409837, 
O00478,5595333.472257792, 
O00479,34631036.38531773, 
O00483,24219862.04254316, 
O00487,55063759.33071545, 
O00499,35665059.539574176, 
O00505,13075244.710566107, 
O00506,1352379.084995312, 
O00515,164301467.99411345, 
O00519,502762.5493251671, 
O00522,2975208.7970377095, 
