Protein,Protein_quant,ProteinName
A0A075B6I0,10859124.22827433, 
A0A075B6I9,666115.2388188558, 
A0A075B6K0,1497759.429120938, 
A0A075B6K4,10842642.172635874, 
A0A075B767,1677876.8829362171, 
A0A087WSY6,69385106.29880561, 
A0A087WW87,21868469.853325717, 
A0A0A0MS15,7347041.74281564, 
A0A0B4J1V1,7395410.328516976, 
A0A0B4J1X5,38534234.98020596, 
A0A0B4J1Y8,5781725.740499559, 
A0A0B4J1Y9,82940123.53502174, 
A0A0B4J2D5,27335907.428040836, 
A0A0B4J2H0,3024132.0054987282, 
A0A0C4DH25,22581071.610970862, 
A0A0C4DH31,3823592.7180323964, 
A0A0C4DH34,11128632.64296349, 
A0A0C4DH36,3468515.45389664, 
A0A0C4DH38,15644944.215858432, 
A0A0C4DH43,2082744.263320602, 
A0A0C4DH67,928947.0870987512, 
A0A0C4DH68,2819905.7225367688, 
A0A0C4DH72,4612487.337932005, 
A0A0J9YVY3,1380774.565068256, 
A0A0J9YXQ4,1409675.9716362872, 
A0A0J9YXX1,801122.64034434, 
A0AV96,7857772.749092746, 
A0AVF1,638099.5076279517, 
A0AVT1,29795218.961566772, 
A0FGR8,31654571.825642906, 
A0JNW5,918063.725752888, 
A0M8Q6,3364432.448672055, 
A0MZ66,9157362.273437925, 
A0PJW6,1088509.7896601555, 
A0PJW8,2301930.8489965373, 
A1A4S6,3044843.9813999096, 
A1L020,2579781.214393398, 
A1L0T0,5251624.106256975, 
A1L188,319564.5723320319, 
A1L390,656659.0341556178, 
A1X283,22578583.120840073, 
A1Z1Q3,2531831.442549673, 
A2A288,229586.18987927478, 
A2NJV5,14405542.61689026, 
A2RRP1,4448258.988322371, 
A2RTX5,3272220.180148791, 
A2RTY3,716910.4061050806, 
A2RUB1,6171833.282470716, 
A2RUC4,282518.9108996074, 
A2RUS2,3177549.3087005215, 
A2VDF0,1153352.8053485453, 
A3KMH1,18522994.180318497, 
A3KN83,6110094.370109121, 
A4D0V7,1076629.040558103, 
A4D126,565676.7194508814, 
A4D1E9,722970.3746711555, 
A4D1P6,8206429.973255085, 
A4D1S5,777549.7238899933, 
A4D2B0,1542980.574666729, 
A4D2P6,1266147.3556103348, 
A4FU69,7692416.0180827975, 
A4UGR9,14966579.29134994, 
A5A3E0,22618494.281761557, 
A5D8V6,3906408.188599379, 
A5YKK6,18660008.820624016, 
A5YM72,10231825.448871493, 
A6NC98,2385578.374237115, 
A6NCE7,20656558.725226652, 
A6NCI4,1035289.361275259, 
A6NCS6,1410964.14143718, 
A6ND36,4023755.982851859, 
A6NDB9,1072944.0282019216, 
A6NDG6,1882719.305293142, 
A6NDK9,87293368.037706, 
A6NDU8,7970761.177066191, 
A6NED2,729047.8720478506, 
A6NEE1,1687969.2828682926, 
A6NFI3,312812.04344056983, 
A6NFQ2,2065108.8230117047, 
A6NFY7,3463280.5804488957, 
A6NHQ2,173237.00384401195, 
A6NHR9,24157896.661960617, 
A6NHX0,436655.4631901344, 
A6NI28,121859.181944939, 
