Protein,Protein_quant,ProteinName
A0A075B6I0,2686332.5877224198, 
A0A075B767,5420796.912308295, 
A0A087WSX0,2412665.151721393, 
A0A087WW87,60653065.32797039, 
A0A087X1C5,12246369.610517288, 
A0A0A0MS15,13117644.7351153, 
A0A0B4J1V6,4998409.200560428, 
A0A0B4J1X5,69485870.15378083, 
A0A0B4J2D5,68269894.00330444, 
A0A0B4J2F0,15010018.259925868, 
A0A0C4DH25,23046499.786571003, 
A0A0C4DH29,740393.8274261991, 
A0A0C4DH36,17313256.83898557, 
A0A0C4DH38,12478889.320093919, 
A0A0C4DH67,7359186.692513253, 
A0A0C4DH68,8433601.266963677, 
A0A0J9YX94,2177220.241252516, 
A0AV96,38209346.31225526, 
A0AVF1,7528403.559509922, 
A0AVT1,30750432.26413412, 
A0FGR8,33862302.70418377, 
A0JNW5,2402519.4169340273, 
A0MZ66,32810784.3306696, 
A0PJW8,4113666.2979226527, 
A1A4S6,12235488.36042231, 
A1A5D9,9319055.060508434, 
A1L0T0,23635213.858036317, 
A1L188,1709271.5784047667, 
A1L390,1485587.6097622837, 
A1L3X0,2668812.45146181, 
A1X283,15714183.389761083, 
A1Z1Q3,52511673.45191102, 
A2RRP1,40427716.52546324, 
A2RTX5,16390504.209135147, 
A2RUB1,78590268.7927116, 
A2RUB6,1799454.4836132058, 
A2RUC4,5680464.787993735, 
A2RUS2,6018252.120020736, 
A3KMH1,135722210.9550654, 
A3KN83,17230332.45320154, 
A4D0V7,30203972.007832702, 
A4D126,4539251.521367689, 
A4D161,739280.9277576328, 
A4D1P6,22044304.33027622, 
A4D1S5,11083159.07054358, 
A4D2B0,2046451.030928859, 
A4FU69,43389226.976796955, 
A4UGR9,1620492.098106544, 
A5A3E0,352945517.52365386, 
A5D8V6,8231140.217363291, 
A5D8W1,1520283.1257958866, 
A5YKK6,39544750.10970352, 
A5YM72,6168948.743695515, 
A6NCE7,13095047.037564885, 
A6ND36,1921907.6550435454, 
A6NDB9,30062152.22924255, 
A6NDG6,11923835.941347683, 
A6NFI3,3731002.715041847, 
A6NFN3,3335821.0424342765, 
A6NFQ2,4332470.331013897, 
A6NHQ2,3691238.450320889, 
A6NHR9,65094932.10193643, 
A6NI28,5490032.526249649, 
A6NI86,29538058.51037735, 
A6NIH7,15968492.644966897, 
A6NK89,2917557.7371366154, 
A6NKD2,2772572.502741937, 
A6NKD9,1955972.5012691063, 
A6NKG5,33989692.729403816, 
A6NKT7,10448139.86513993, 
A6NL88,306330050.969468, 
A6NLP5,11667678.761525875, 
A6NMB1,3531945.462454538, 
A6NMY6,1605184.949363784, 
A6NMZ7,16273702.365923928, 
A6ZKI3,3647412.626711266, 
A7E2V4,2001618.6335992396, 
A7KAX9,8784445.04440549, 
A8K2U0,9402185.283576665, 
A8K7I4,12700677.463228673, 
A8MPS7,4414590.488218563, 
A8MU46,1473969.4905333437, 
A8MVW0,2334900.0711816377, 
A8MVX0,1174116.1641382286, 
A8MXV4,48171119.150993295, 
A8MZF0,1182055.5518416734, 
A8TX70,4954467.959372642, 
B0I1T2,15660310.903154697, 
B1AJZ9,64921475.44527163, 
B1AK53,1450757.6542602072, 
B2RBV5,2944086.5917063314, 
B2RTY4,3277922.435655435, 
B7ZAP0,1855245.3632704706, 
B7ZAQ6,15654501.047200868, 
B9A064,10149261.014132887, 
C4AMC7,25734674.955017373, 
C9J069,36725620.38605157, 
C9JJH3,44312820.86990306, 
C9JLW8,17801782.773529124, 
C9JTQ0,3520312.5070693316, 
DECOY_P62745,4366249.423416679,
DECOY_Q14678,874840.8534916134,
DECOY_Q149N8,1700360.291244586,
DECOY_Q96H78,1140057.860184394,
E9PAV3,243424166.4333138, 
