UniprotID,ProteinName,quant
A0A061ACH4,A0A061ACH4_CAEEL,1699326.5883837068
A0A061ACL3,A0A061ACL3_CAEEL,5668578.121877538
A0A061ACR1,A0A061ACR1_CAEEL,3074523.3857796313
A0A061ACY0,A0A061ACY0_CAEEL,2855278.5954940747
A0A061AD21,A0A061AD21_CAEEL,6712430.315845735
A0A061AD39,A0A061AD39_CAEEL,354086.7267685806
A0A061AD47,A0A061AD47_CAEEL,3853380.9758237633
A0A061AE05,A0A061AE05_CAEEL,1012483.8918634
A0A061AJK8,A0A061AJK8_CAEEL,1864407.32303158
A0A061AL58,A0A061AL58_CAEEL,346272.2812443695
A0A078BQL1,A0A078BQL1_CAEEL,1067823.035529371
A0A078BS63,A0A078BS63_CAEEL,335988.648648235
A0A9S2,A0A9S2_CAEEL,3015869.7367666773
A0AV96,RBM47_HUMAN,1941124.011609016
A0AVF1,TTC26_HUMAN,20550436.343684208
A0AVT1,UBA6_HUMAN,9687498.96163455
A0FGR8,ESYT2_HUMAN,3526878.2186819115
A0JLT2,MED19_HUMAN,2132857.691291302
A0MZ66,SHOT1_HUMAN,4183224.419300939
A0PJW6,TM223_HUMAN,5924553.4575524125
A1A4S6,RHG10_HUMAN,1409429.2204730266
A1A5D9,BICR2_HUMAN,15234271.538501004
A1L0T0,ILVBL_HUMAN,9311042.316851135
A1L188,CQ089_HUMAN,828016.6990920424
A1L390,PKHG3_HUMAN,5664801.783891319
A1L429,GG12C_HUMAN,4588328.337120293
A2A2Z9,AN18B_HUMAN,36815242.88472185
A2RRD8,ZN320_HUMAN,17166201.12869593
A2RRP1,NBAS_HUMAN,2518246.760428492
A2RTX5,SYTC2_HUMAN,8670566.957829472
A2V8C3,A2V8C3_CAEEL,627223.6646574446
A3FPK9,A3FPK9_CAEEL,301113.95176678005
A3KMH1,VWA8_HUMAN,2863830.827815504
A3KN83,SBNO1_HUMAN,7291809.734257191
A3QMB7,A3QMB7_CAEEL,3681227.739628372
A3QMC2,A3QMC2_CAEEL,2696087.7556011486
A3QMC5,A3QMC5_CAEEL,41704613.87070929
A3QMC8,GMPPB_CAEEL,3350630.5001233183
A4D1E9,GTPBA_HUMAN,1646281.8222935023
A4UGR9,XIRP2_HUMAN,2812539.7901799213
A4UVK2,A4UVK2_CAEEL,761230.3128756937
A5A3E0,POTEF_HUMAN,2988636.0897500385
A5A8Q9,A5A8Q9_CAEEL,6524859.27816872
A5D8V6,VP37C_HUMAN,832536.3354212989
A5HU98,A5HU98_CAEEL,7154750.4041769495
A5HWA4,A5HWA4_CAEEL,235762.969199804
A5HWB2,A5HWB2_CAEEL,3597052.7991327527
A5JYR4,A5JYR4_CAEEL,1445828.8944772554
A5JYX3,A5JYX3_CAEEL,2160447.520646734
A5JYX4,A5JYX4_CAEEL,6173638.641437868
A5JYX8,A5JYX8_CAEEL,3374290.2706318903
A5PEW5,A5PEW5_CAEEL,860859.9554796836
A5PEX6,A5PEX6_CAEEL,2992985.1654149666
A5PLL7,TM189_HUMAN,2355255.6274771383
A5YKK6,CNOT1_HUMAN,3825639.990015051
A5Z2S4,A5Z2S4_CAEEL,1400103.8911759665
A5Z2V7,A5Z2V7_CAEEL,1355007.440162208
A5Z2W3,A5Z2W3_CAEEL,11265085.283572918
A5Z2X5,YP010_YEAST,2358556.274554229
A6NC78,GOG8I_HUMAN,1536592.126186346
A6NC98,CC88B_HUMAN,854000.7930010948
A6NCE7,MP3B2_HUMAN,14675312.672545975
A6NCN2,KR87P_HUMAN,14649180.060778106
A6ND36,FA83G_HUMAN,254637.2102847737
A6NDG6,PGP_HUMAN,5493848.608231053
A6NDU8,CE051_HUMAN,2254881.8829067447
A6NED2,RCCD1_HUMAN,3875259.2940220023
A6NFI3,ZN316_HUMAN,321986.8927741482
A6NGY5,O51F1_HUMAN,1094911.786664469
A6NHL2,TBAL3_HUMAN,2223604.5202626027
A6NHR9,SMHD1_HUMAN,4949605.456284814
A6NIH7,U119B_HUMAN,3913649.9759129505
A6NJ78,MET15_HUMAN,1261812.3363071245
A6NKF1,SAC31_HUMAN,9771682.01791481
A6NKT7,RGPD3_HUMAN,4247995.4866578
A6PVA5,A6PVA5_CAEEL,740520.5257648667
A6ZJ46,A6ZJ46_CAEEL,6035048.381312951
A6ZKI3,F127A_HUMAN,2337074.8064553253
A7DT40,A7DT40_CAEEL,1125530.613558845
A7DT45,A7DT45_CAEEL,3990354.611209766
A7DTF0,A7DTF0_CAEEL,1863482.5156445424
A7DTF5,A7DTF5_CAEEL,5654461.303925088
A7E2V4,ZSWM8_HUMAN,102679.05977472008
A7LPE6,A7LPE6_CAEEL,12723236.842959149
A7LPF3,A7LPF3_CAEEL,2033771.1439464854
A7LPG5,A7LPG5_CAEEL,12495337.80863322
A7LPJ5,A7LPJ5_CAEEL,822991.2410675911
A8MT70,ZBBX_HUMAN,5718989.626593252
A8MW92,P20L1_HUMAN,684163.9438448778
A8MWD9,RUXGL_HUMAN,133491622.88088775
A8MXV4,NUD19_HUMAN,1109890.248294049
A8WHR6,A8WHR6_CAEEL,13481219.867991786
A8WI97,A8WI97_CAEEL,1261343.3308866343
A9CZN9,A9CZN9_CAEEL,3651661.3933712384
A9D0C6,A9D0C6_CAEEL,2193468.9159954675
A9D2X7,A9D2X7_CAEEL,2697460.8143616645
A9D4S6,A9D4S6_CAEEL,1329265.3962772435
A9UJN4,A9UJN4_CAEEL,3048346.742128891
A9UJN7,A9UJN7_CAEEL,8678101.40779686
B0I1T2,MYO1G_HUMAN,10079123.65965378
B0M0L8,B0M0L8_CAEEL,8334090.540430482
B0M0N9,B0M0N9_CAEEL,211094.3032869964
B1Q250,B1Q250_CAEEL,171638.51000515642
B1Q254,B1Q254_CAEEL,553015.7545977711
B1V898,B1V898_CAEEL,651761.7205540503
B2D6K7,B2D6K7_CAEEL,9351901.890590766
B2D6P1,B2D6P1_CAEEL,5487064.778638286
B2FDA8,SMC3_CAEEL,5849163.319443711
B2MZA9,B2MZA9_CAEEL,1172152.6876036169
B3CJ34,B3CJ34_CAEEL,4835142.6919054855
B3GWA1,B3GWA1_CAEEL,2802068.855122784
B3GWD5,B3GWD5_CAEEL,1060391.079552131
B3WFT8,B3WFT8_CAEEL,7263692.858786745
B3WFV9,B3WFV9_CAEEL,3139336.6055654455
B3WFW9,B3WFW9_CAEEL,4677324.366990727
B3WFZ3,B3WFZ3_CAEEL,974730.587108493
B4E3X6,B4E3X6_CAEEL,4942320.217410485
B5BM23,B5BM23_CAEEL,7843438.208445164
B5BM32,B5BM32_CAEEL,967641.4819355373
B5BM33,B5BM33_CAEEL,1507919.0369694645
B5BM47,B5BM47_CAEEL,340793.5740936146
B5U8N2,B5U8N2_CAEEL,900055.694733494
B6VQ41,B6VQ41_CAEEL,1419054.3435425127
B6VQ59,B6VQ59_CAEEL,2989272.3418611055
B7FAR9,B7FAR9_CAEEL,7004027.976127194
B7FAS8,B7FAS8_CAEEL,492908.5122033348
B7WN66,B7WN66_CAEEL,279555.1269693149
B7WN95,B7WN95_CAEEL,387148358.01196444
B7ZAQ6,GPHRA_HUMAN,1707054.9117440358
B9WRS6,B9WRS6_CAEEL,21128322.283256162
C0P274,C0P274_CAEEL,75026.99864487638
C0P278,C0P278_CAEEL,948144.9642848008
C0VXV6,C0VXV6_CAEEL,1188288.7475619556
C0Z1Y9,C0Z1Y9_CAEEL,4942721.65739193
C1P622,C1P622_CAEEL,14799416.456036083
C1P629,C1P629_CAEEL,7830340.16351078
C1P636,C1P636_CAEEL,11261529.07869452
C1P648,C1P648_CAEEL,1180527.6833320232
C2BR91,C2BR91_CAEEL,5444411.624289939
C2BR94,C2BR94_CAEEL,5114705.94048107
C4AMC7,WASH3_HUMAN,5305123.089590881
C5VUK2,C5VUK2_CAEEL,1518921.3723573666
C6KRG1,C6KRG1_CAEEL,11372410.804568902
C6KRI9,C6KRI9_CAEEL,1004838.5629871062
C6KRK8,C6KRK8_CAEEL,8759162.430192176
C6KRL2,C6KRL2_CAEEL,600037.5075774605
C6KRN1,C6KRN1_CAEEL,2985888.200704527
C6KRN4,C6KRN4_CAEEL,2471002.1347874305
C6KRQ4,C6KRQ4_CAEEL,1420746.0815763655
C7FZU3,C7FZU3_CAEEL,11960465.571021171
C9IY21,C9IY21_CAEEL,12945202.781432178
D0IMZ5,D0IMZ5_CAEEL,15226973.807507325
D0PV95,D0PV95_CAEEL,7235962.76689278
D0VWL6,D0VWL6_CAEEL,2857986.3608572744
D0VWM8,D0VWM8_CAEEL,1874935.4985417607
D0Z5P0,D0Z5P0_CAEEL,871600.3886850674
D1MN80,D1MN80_CAEEL,961976.2061145353
D3NQA9,D3NQA9_CAEEL,1291398.238100243
D3YT36,D3YT36_CAEEL,8058842.158854708
D3YT56,D3YT56_CAEEL,14704020.860101331
D4YWC3,D4YWC3_CAEEL,1342986.1238234774
D5MCN2,LARP1_CAEEL,6475993.988425963
D5MCQ1,D5MCQ1_CAEEL,22918036.278434504
D6RYD3,D6RYD3_CAEEL,814543.9439504538
D7SFI3,D7SFI3_CAEEL,14727985.751392705
D7SFK2,D7SFK2_CAEEL,270945.7773949882
D9N122,D9N122_CAEEL,2431573.249680616
D9PTP5,D9PTP5_CAEEL,5372794.963229157
E0AHA7,E0AHA7_CAEEL,3445932.1068207263
E0R7L2,E0R7L2_CAEEL,1751770.511990889
E1B6Q7,E1B6Q7_CAEEL,5125436.719343426
E1B6R3,E1B6R3_CAEEL,4867655.0385901015
E2JKZ0,E2JKZ0_CAEEL,4543895.546349104
E3W741,E3W741_CAEEL,1570960.3046753276
E5QCI8,E5QCI8_CAEEL,311153.3015854824
E9PAV3,NACAM_HUMAN,31284923.985210486
E9RKC7,E9RKC7_CAEEL,2436463.418660244
F3Y5P6,F3Y5P6_CAEEL,1317174.650008527
F5GU60,F5GU60_CAEEL,4237978.851548611
F5GU86,F5GU86_CAEEL,1267570.2008211403
F5GUI0,F5GUI0_CAEEL,243742.5212707494
G1K0V8,G1K0V8_CAEEL,13119532.006179694
G1K0X0,G1K0X0_CAEEL,347252.5242508638
G3MU08,G3MU08_CAEEL,1526169.2533972864
G3MU14,G3MU14_CAEEL,1043837.8463075706
G3MU28,G3MU28_CAEEL,668780.7045660228
G3MU38,G3MU38_CAEEL,7264800.4688017275
G3MU56,G3MU56_CAEEL,2085214.3422670802
G3MU79,G3MU79_CAEEL,2693619.183799872
G3MU88,G3MU88_CAEEL,26337649.205557376
G4RYA5,G4RYA5_CAEEL,1189623.5156583027
G4S034,G4S034_CAEEL,17383814.555277318
G4SF15,G4SF15_CAEEL,1182215.7064728427
G4SGU1,G4SGU1_CAEEL,3530686.2735999124
G4SI07,G4SI07_CAEEL,11403515.008360935
G4SL51,G4SL51_CAEEL,19963279.596856236
G4SLD6,G4SLD6_CAEEL,6360909.379080292
G4SNP0,G4SNP0_CAEEL,229736.6681339157
G4SPY0,G4SPY0_CAEEL,7400788.197726286
G4SQY7,G4SQY7_CAEEL,1737436.453284912
G4SRS5,G4SRS5_CAEEL,1389312.3370142835
G5EBF3,G5EBF3_CAEEL,66180579.00484725
G5EBF4,G5EBF4_CAEEL,7420190.3801558055
G5EBG0,G5EBG0_CAEEL,1560281.263759365
G5EBH3,G5EBH3_CAEEL,2932548.723281797
G5EBH7,G5EBH7_CAEEL,42868484.57826271
G5EBI0,G5EBI0_CAEEL,8288813.87533088
G5EBJ7,G5EBJ7_CAEEL,14905971.473510057
G5EBJ8,G5EBJ8_CAEEL,73832816.66384636
G5EBK3,G5EBK3_CAEEL,21418519.19541935
G5EBP4,G5EBP4_CAEEL,6649013.766727442
G5EBP5,G5EBP5_CAEEL,35325545.296235524
G5EBR1,G5EBR1_CAEEL,4374262.218489481
G5EBT3,G5EBT3_CAEEL,3237021.788648287
G5EBU8,G5EBU8_CAEEL,1209844.5438998109
G5EBV4,G5EBV4_CAEEL,7881692.038130858
G5EBV6,G5EBV6_CAEEL,5368387.954999276
G5EBW5,G5EBW5_CAEEL,943789.9606952346
G5EBX6,G5EBX6_CAEEL,331597.7019399036
G5EBY3,G5EBY3_CAEEL,2564856.9997562384
G5EBZ4,LE418_CAEEL,180385.01440071457
G5EC10,G5EC10_CAEEL,14596587.980618592
G5EC22,G5EC22_CAEEL,2630327.0734173646
G5EC23,G5EC23_CAEEL,2876202.6822425737
G5EC24,G5EC24_CAEEL,276157.3334506415
G5EC31,G5EC31_CAEEL,2848390.4885749426
G5EC67,G5EC67_CAEEL,1153650.1064793677
G5EC71,G5EC71_CAEEL,1545315.028344369
G5EC78,G5EC78_CAEEL,10933322.874933448
G5EC87,G5EC87_CAEEL,3932727.6244629817
G5EC91,G5EC91_CAEEL,22162761.94684744
G5EC98,G5EC98_CAEEL,3743240.158249137
G5ECA0,G5ECA0_CAEEL,1383736.6337312404
G5ECA7,G5ECA7_CAEEL,13444474.030470578
G5ECB3,G5ECB3_CAEEL,7415193.31184067
G5ECC1,G5ECC1_CAEEL,588752.2822656207
G5ECC9,G5ECC9_CAEEL,5226540.768904762
G5ECD7,G5ECD7_CAEEL,207266.47693367724
G5ECE7,G5ECE7_CAEEL,7831806.248613583
G5ECF0,G5ECF0_CAEEL,2166802.0649518133
G5ECF8,G5ECF8_CAEEL,3141649.818601884
G5ECG0,G5ECG0_CAEEL,2956234.8834723444
G5ECG7,G5ECG7_CAEEL,6338461.101427202
G5ECI8,G5ECI8_CAEEL,2707908.4906841884
G5ECK7,G5ECK7_CAEEL,792959.3053910886
G5ECL3,G5ECL3_CAEEL,3118960.3837095876
G5ECM6,G5ECM6_CAEEL,23714432.564015657
G5ECP9,G5ECP9_CAEEL,10167990.119913653
G5ECR0,G5ECR0_CAEEL,28358169.732822128
G5ECR5,G5ECR5_CAEEL,990785.2993593032
G5ECR7,G5ECR7_CAEEL,4499168.965898035
G5ECS4,G5ECS4_CAEEL,786057.0294920559
G5ECS9,G5ECS9_CAEEL,4029311.8389302087
G5ECT6,G5ECT6_CAEEL,8500665.136910666
G5ECU1,G5ECU1_CAEEL,17190418.46810693
G5ECU3,G5ECU3_CAEEL,42001543.33639622
G5ECV9,G5ECV9_CAEEL,11116996.398753975
G5ECW7,G5ECW7_CAEEL,4639043.52269276
G5ECX8,G5ECX8_CAEEL,9000626.029698003
G5ECX9,G5ECX9_CAEEL,4330206.124493759
G5ECY0,G5ECY0_CAEEL,14528228.553736892
G5ECZ0,G5ECZ0_CAEEL,1115508.0449124903
G5ECZ2,G5ECZ2_CAEEL,18010532.773384504
G5ED01,G5ED01_CAEEL,10433954.449734388
G5ED07,G5ED07_CAEEL,35685116.721330084
G5ED21,G5ED21_CAEEL,3981147.1670618523
G5ED26,G5ED26_CAEEL,123685.75804552637
G5ED27,G5ED27_CAEEL,2856474.9158145958
G5ED31,G5ED31_CAEEL,19089982.608361162
G5ED33,G5ED33_CAEEL,8857656.231343493
G5ED36,G5ED36_CAEEL,1654651.0871792338
G5ED41,CAND1_CAEEL,2429765.016726651
G5ED63,G5ED63_CAEEL,936688.5392865196
G5ED75,G5ED75_CAEEL,1535526.1640521202
G5ED80,G5ED80_CAEEL,569469.853028559
G5ED95,G5ED95_CAEEL,13680292.182654854
G5ED97,G5ED97_CAEEL,7695857.018864928
G5EDA8,G5EDA8_CAEEL,3469783.016558557
G5EDB7,G5EDB7_CAEEL,593522.5197010064
G5EDC6,G5EDC6_CAEEL,8210251.286271684
G5EDD3,G5EDD3_CAEEL,10750682.999909699
G5EDD4,G5EDD4_CAEEL,11451485.433945054
G5EDD8,G5EDD8_CAEEL,5020125.9686878845
G5EDE8,G5EDE8_CAEEL,14173706.552665394
G5EDF5,G5EDF5_CAEEL,4204439.881801189
G5EDF7,G5EDF7_CAEEL,275337.3162274185
G5EDJ3,G5EDJ3_CAEEL,724335.8774844091
G5EDJ6,G5EDJ6_CAEEL,2784824.6317344876
G5EDL9,G5EDL9_CAEEL,19085056.336656217
G5EDM4,G5EDM4_CAEEL,19123419.067652274
G5EDN6,G5EDN6_CAEEL,892117.2979006877
G5EDP0,G5EDP0_CAEEL,2159660.071856052
G5EDP2,NLTP2_CAEEL,13992059.779707892
G5EDQ2,G5EDQ2_CAEEL,4306375.83759103
G5EDQ4,G5EDQ4_CAEEL,3298608.741694581
G5EDR3,G5EDR3_CAEEL,6683675.2999604335
G5EDS2,G5EDS2_CAEEL,3065728.7857662775
G5EDT4,G5EDT4_CAEEL,1573349.3994770125
G5EDT9,G5EDT9_CAEEL,1824473.8326731948
G5EDV0,G5EDV0_CAEEL,6421028.445478893
G5EDV3,G5EDV3_CAEEL,6247062.549036283
G5EDV4,G5EDV4_CAEEL,339809.7522733809
G5EDV7,G5EDV7_CAEEL,5866366.064365353
G5EDW1,G5EDW1_CAEEL,555121.3357617648
G5EDW8,G5EDW8_CAEEL,12639800.792157602
G5EDY2,G5EDY2_CAEEL,5824516.013995929
G5EDY3,G5EDY3_CAEEL,1696485.183444494
G5EDY8,G5EDY8_CAEEL,2194712.7277024016
G5EDZ2,G5EDZ2_CAEEL,5065748.621671897
G5EDZ5,G5EDZ5_CAEEL,12133701.82112828
G5EDZ7,G5EDZ7_CAEEL,3155454.5529424315
G5EDZ9,G5EDZ9_CAEEL,6883494.06908956
G5EE04,G5EE04_CAEEL,4279491.895044174
G5EE09,G5EE09_CAEEL,3387116.057200241
G5EE11,G5EE11_CAEEL,6835569.690838601
G5EE12,G5EE12_CAEEL,7851688.305471975
G5EE13,G5EE13_CAEEL,436601.6790694753
G5EE41,G5EE41_CAEEL,13024711.763161851
G5EE42,G5EE42_CAEEL,4581724.716140573
G5EE46,G5EE46_CAEEL,3595015.677151977
G5EE67,G5EE67_CAEEL,3357180.3632220225
G5EE72,G5EE72_CAEEL,475450.10632460134
G5EE74,G5EE74_CAEEL,5122747.21114197
G5EE80,G5EE80_CAEEL,5542185.5833835
G5EE96,G5EE96_CAEEL,455970.9837117906
G5EEA2,G5EEA2_CAEEL,6675151.327126865
G5EEA8,G5EEA8_CAEEL,14744443.9603335
G5EEE5,G5EEE5_CAEEL,15583095.702531353
G5EEG4,G5EEG4_CAEEL,25879397.782663304
G5EEG7,G5EEG7_CAEEL,836499.7304925735
G5EEH6,G5EEH6_CAEEL,11915311.931578876
G5EEH9,NUP98_CAEEL,4492335.54639778
G5EEI4,G5EEI4_CAEEL,14526226.15083012
G5EEI8,G5EEI8_CAEEL,203146.87199942896
G5EEJ7,G5EEJ7_CAEEL,12268930.67853138
G5EEK2,G5EEK2_CAEEL,907954.8030237651
G5EEK8,G5EEK8_CAEEL,18874092.60107716
G5EEK9,G5EEK9_CAEEL,2820483.3449888816
G5EEM5,ZYG9_CAEEL,3195840.265398598
G5EEN7,G5EEN7_CAEEL,1328251.8056257777
G5EEQ8,G5EEQ8_CAEEL,1954251.6640339089
G5EER7,G5EER7_CAEEL,1386678.5234954061
G5EES3,G5EES3_CAEEL,184098.0427817581
G5EES6,G5EES6_CAEEL,4139262.304395248
G5EES9,G5EES9_CAEEL,10038905.68877982
G5EET2,G5EET2_CAEEL,3187052.04759223
G5EET3,G5EET3_CAEEL,3405783.936989095
G5EET8,G5EET8_CAEEL,34251414.111808814
G5EEV5,G5EEV5_CAEEL,11996930.447958965
G5EEZ0,G5EEZ0_CAEEL,667288.0623147604
G5EEZ4,G5EEZ4_CAEEL,1278261.641845108
G5EF01,G5EF01_CAEEL,2530166.0520295883
G5EF05,G5EF05_CAEEL,6509373.496312595
G5EF32,G5EF32_CAEEL,13204049.15290488
G5EF37,G5EF37_CAEEL,19088464.389178235
G5EF39,G5EF39_CAEEL,748633.5939975623
G5EF53,G5EF53_CAEEL,1115206.3679250423
G5EF60,STIM1_CAEEL,3105732.223141364
G5EF77,G5EF77_CAEEL,291333.6412347973
G5EF86,G5EF86_CAEEL,4058806.6140183387
G5EF87,G5EF87_CAEEL,6127828.333469333
G5EF97,G5EF97_CAEEL,2558407.284340318
G5EF99,G5EF99_CAEEL,1728608.5002120538
G5EFB5,G5EFB5_CAEEL,11374271.971722241
G5EFC1,G5EFC1_CAEEL,3621496.9774845038
G5EFC4,G5EFC4_CAEEL,3970356.7046597376
G5EFC8,G5EFC8_CAEEL,4106638.9298497285
G5EFD1,G5EFD1_CAEEL,2962281.2738811453
G5EFD7,G5EFD7_CAEEL,1283929.9077633244
G5EFE3,G5EFE3_CAEEL,20702952.204397142
G5EFF8,G5EFF8_CAEEL,7208106.152316553
G5EFF9,G5EFF9_CAEEL,895888.738931793
G5EFG4,G5EFG4_CAEEL,6826428.12809127
G5EFH0,G5EFH0_CAEEL,5239367.294086274
G5EFH8,G5EFH8_CAEEL,3833414.499828457
G5EFI4,G5EFI4_CAEEL,29618018.924592115
G5EFJ0,G5EFJ0_CAEEL,2011861.973538533
G5EFJ8,G5EFJ8_CAEEL,183465.61604586896
G5EFK4,G5EFK4_CAEEL,20009843.913823508
G5EFL1,G5EFL1_CAEEL,97618.46042939305
G5EFL5,G5EFL5_CAEEL,12556637.368941892
G5EFP3,G5EFP3_CAEEL,1197602.512650748
G5EFP4,G5EFP4_CAEEL,2321086.2059132727
G5EFR0,G5EFR0_CAEEL,1919281.754441491
G5EFS2,G5EFS2_CAEEL,2796350.4832646167
G5EFS4,DCPS_CAEEL,1302895.6020967015
G5EFS5,G5EFS5_CAEEL,20627694.883066293
G5EFV4,G5EFV4_CAEEL,24663428.15432211
G5EFX8,G5EFX8_CAEEL,2650423.3746748352
G5EFY6,G5EFY6_CAEEL,2249983.424402181
G5EFZ1,GPMI_CAEEL,15121126.315563839
G5EFZ5,G5EFZ5_CAEEL,2340071.4147475846
G5EG03,G5EG03_CAEEL,977374.9092267548
G5EG13,G5EG13_CAEEL,9322561.074520227
G5EG18,G5EG18_CAEEL,674216.6213127858
G5EG26,G5EG26_CAEEL,1474154.4480709268
G5EG50,G5EG50_CAEEL,1587030.213939986
G5EG58,G5EG58_CAEEL,879969.3892521489
G5EG62,G5EG62_CAEEL,4617817.702085526
G5EGA5,FAT2_CAEEL,15370786.323261682
G5EGA6,DHRS4_CAEEL,2389113.780431193
G5EGA7,G5EGA7_CAEEL,948272.366372316
G5EGB1,G5EGB1_CAEEL,42839178.73063563
G5EGB3,G5EGB3_CAEEL,651600.714230028
G5EGG0,G5EGG0_CAEEL,2352904.625343801
G5EGH6,FAT7_CAEEL,47033.91854624922
G5EGH7,G5EGH7_CAEEL,9937400.146626135
G5EGK1,G5EGK1_CAEEL,8648083.475037226
G5EGK8,G5EGK8_CAEEL,6933825.657678403
G5EGL2,G5EGL2_CAEEL,3144668.9065497555
G5EGN2,FAT6_CAEEL,1232695.5659409594
G5EGP4,G5EGP4_CAEEL,7022742.46001859
G5EGP8,G5EGP8_CAEEL,18629105.89867874
G5EGS5,G5EGS5_CAEEL,1377039.0544545888
G5EGS9,G5EGS9_CAEEL,173774.67608668163
G5EGT6,G5EGT6_CAEEL,443181.3476837364
G5EGT7,G5EGT7_CAEEL,4825564.060333244
G5EGU1,G5EGU1_CAEEL,5205486.625911418
G8JY31,G8JY31_CAEEL,1981733.5844563062
G8JY38,G8JY38_CAEEL,25647657.58875038
G8JY40,G8JY40_CAEEL,17769558.459800452
G8JY63,G8JY63_CAEEL,285063.61932360934
G8JY83,G8JY83_CAEEL,11921263.263222646
G8JY94,G8JY94_CAEEL,57021973.75109865
G8JYA5,G8JYA5_CAEEL,1554768.70461443
G8JYB2,G8JYB2_CAEEL,955456.6877668928
G8JYE4,G8JYE4_CAEEL,1482317.8125540577
G8JYG1,G8JYG1_CAEEL,7620005.293106634
G8XYY4,G8XYY4_CAEEL,57914107.492173046
H1ZUV6,H1ZUV6_CAEEL,2263160.1930558085
