UniprotID,ProteinName,quant
A0A061ACH4,A0A061ACH4_CAEEL,909100.6327778462
A0A061ACL3,A0A061ACL3_CAEEL,4864992.801345022
A0A061ACR1,A0A061ACR1_CAEEL,1556494.0947466013
A0A061AD21,A0A061AD21_CAEEL,3506639.6962738517
A0A061AD47,A0A061AD47_CAEEL,2061224.6371478355
A0A061AJK8,A0A061AJK8_CAEEL,653974.8573440686
A0A061AL58,A0A061AL58_CAEEL,225011.9864947904
A0A078BQL1,A0A078BQL1_CAEEL,718444.0255024561
A0A078BS63,A0A078BS63_CAEEL,1793805.0712048966
A0A9S2,A0A9S2_CAEEL,2592458.322902757
A0AV96,RBM47_HUMAN,1756614.7309082488
A0AVF1,TTC26_HUMAN,15214933.04132241
A0AVT1,UBA6_HUMAN,4897694.599375345
A0FGR8,ESYT2_HUMAN,4518001.3131396985
A0MZ66,SHOT1_HUMAN,3856107.7206367394
A0PJW6,TM223_HUMAN,4002582.249141272
A1A4S6,RHG10_HUMAN,1111505.017294092
A1A5D9,BICR2_HUMAN,10671989.115694841
A1L0T0,ILVBL_HUMAN,9206676.976009406
A1L188,CQ089_HUMAN,880043.056280792
A1L390,PKHG3_HUMAN,658750.4237472609
A1L429,GG12C_HUMAN,5741659.48514645
A2A2Z9,AN18B_HUMAN,25760347.919825155
A2RRD8,ZN320_HUMAN,4045963.3510167953
A2RRP1,NBAS_HUMAN,1065317.9830278272
A2RTX5,SYTC2_HUMAN,6157640.218029914
A3FPK9,A3FPK9_CAEEL,381319.516670193
A3KMH1,VWA8_HUMAN,2917399.2206866792
A3KN83,SBNO1_HUMAN,7931721.141971737
A3QMB7,A3QMB7_CAEEL,1360106.975548224
A3QMC2,A3QMC2_CAEEL,2456620.36144107
A3QMC5,A3QMC5_CAEEL,16049589.634102847
A3QMC8,GMPPB_CAEEL,2790329.2944356804
A4D1E9,GTPBA_HUMAN,560541.5039926649
A4D1P6,WDR91_HUMAN,230946.5094439859
A4UGR9,XIRP2_HUMAN,4049892.877572938
A5A3E0,POTEF_HUMAN,9764835.739937074
A5A8Q9,A5A8Q9_CAEEL,5561689.813920976
A5HU98,A5HU98_CAEEL,6208281.262164331
A5JYR4,A5JYR4_CAEEL,432240.0081491498
A5JYX3,A5JYX3_CAEEL,1029405.47222448
A5JYX4,A5JYX4_CAEEL,3867124.188020315
A5JYX8,A5JYX8_CAEEL,2990865.928593039
A5PEX6,A5PEX6_CAEEL,3258740.235265705
A5PLL7,TM189_HUMAN,2427006.104605967
A5PLN9,TPC13_HUMAN,650946.228350811
A5YKK6,CNOT1_HUMAN,6248350.766697523
A5Z2S4,A5Z2S4_CAEEL,1066545.2795002866
A5Z2U5,A5Z2U5_CAEEL,520187.2047372431
A5Z2W3,A5Z2W3_CAEEL,16296572.515729811
A5Z2X5,YP010_YEAST,10957788.942050386
A6NC78,GOG8I_HUMAN,1750938.001423722
A6NC98,CC88B_HUMAN,954445.5749307298
A6NCE7,MP3B2_HUMAN,10317744.41063895
A6NCN2,KR87P_HUMAN,12788169.6734367
A6ND36,FA83G_HUMAN,431119.17849111214
A6NDG6,PGP_HUMAN,6231457.20310179
A6NDU8,CE051_HUMAN,1630741.2521655736
A6NED2,RCCD1_HUMAN,4905353.468476734
A6NFI3,ZN316_HUMAN,338473.6417809582
A6NGY5,O51F1_HUMAN,2213957.9790313905
A6NHL2,TBAL3_HUMAN,2427985.460598045
A6NHR9,SMHD1_HUMAN,5921671.934823476
A6NIH7,U119B_HUMAN,4029329.114538879
A6NJ78,MET15_HUMAN,256050.46371322413
A6NKF1,SAC31_HUMAN,14830766.00924582
A6NKT7,RGPD3_HUMAN,3144115.3196184197
A6ZJ46,A6ZJ46_CAEEL,2844101.2150221216
A6ZKI3,F127A_HUMAN,2289940.3399407677
A7DT45,A7DT45_CAEEL,1910723.3776484656
