UniprotID,ProteinName,quant
A0A061ACH4,A0A061ACH4_CAEEL,2559093.893084228
A0A061ACL3,A0A061ACL3_CAEEL,7292849.715714562
A0A061ACR1,A0A061ACR1_CAEEL,4033301.2949141013
A0A061ACY0,A0A061ACY0_CAEEL,3210238.0154227586
A0A061AD21,A0A061AD21_CAEEL,7634491.535600842
A0A061AD47,A0A061AD47_CAEEL,5592189.211555226
A0A061ADX7,A0A061ADX7_CAEEL,425782.8513756429
A0A061AE05,A0A061AE05_CAEEL,1326075.4569243025
A0A061AJK8,A0A061AJK8_CAEEL,2049698.621330966
A0A061AL58,A0A061AL58_CAEEL,221566.374602856
A0A078BQL1,A0A078BQL1_CAEEL,752924.5216664886
A0A078BS63,A0A078BS63_CAEEL,2183042.051770799
A0A9S2,A0A9S2_CAEEL,3523448.546766793
A0AV96,RBM47_HUMAN,3308097.6580075203
A0AVF1,TTC26_HUMAN,27745249.401666533
A0AVT1,UBA6_HUMAN,7909313.230300148
A0FGR8,ESYT2_HUMAN,4813699.783728857
A0JLT2,MED19_HUMAN,3508822.1000433536
A0MZ66,SHOT1_HUMAN,5542813.481191244
A0PJW6,TM223_HUMAN,8169190.9877080005
A1A4S6,RHG10_HUMAN,997757.6780934912
A1A5D9,BICR2_HUMAN,227343.0633127915
A1L0T0,ILVBL_HUMAN,12435059.35559756
A1L188,CQ089_HUMAN,730384.5175687807
A1L390,PKHG3_HUMAN,1092301.2100561445
A1L429,GG12C_HUMAN,6717130.988874974
A2A2Z9,AN18B_HUMAN,42919829.61945908
A2RRD8,ZN320_HUMAN,19739391.10204212
A2RRP1,NBAS_HUMAN,2440356.8487567296
A2RTX5,SYTC2_HUMAN,8278847.019384604
A2RUC4,TYW5_HUMAN,534137.4932867931
A2V8C3,A2V8C3_CAEEL,813266.1607791776
A3FPK9,A3FPK9_CAEEL,479834.0765302833
A3KMH1,VWA8_HUMAN,2237474.757772505
A3KN83,SBNO1_HUMAN,6333238.926271768
A3QM98,A3QM98_CAEEL,1575833.7824965247
A3QMB6,A3QMB6_CAEEL,171681.9128205734
A3QMB7,A3QMB7_CAEEL,746478.5809908755
A3QMC2,A3QMC2_CAEEL,3564859.5354311927
A3QMC5,A3QMC5_CAEEL,42186826.09733184
A3QMC8,GMPPB_CAEEL,3484225.044134801
A4D1E9,GTPBA_HUMAN,3573428.903803639
A4UGR9,XIRP2_HUMAN,2812341.9392109937
A5A3E0,POTEF_HUMAN,2268098.178451388
A5A8Q9,A5A8Q9_CAEEL,8330212.336208876
A5D8V6,VP37C_HUMAN,540575.96024044
A5HU98,A5HU98_CAEEL,5863129.089588755
A5HWA4,A5HWA4_CAEEL,162464.4100150963
A5HWB2,A5HWB2_CAEEL,2718108.142472278
A5JYR4,A5JYR4_CAEEL,1434715.0580693688
A5JYX3,A5JYX3_CAEEL,2351226.6056171777
A5JYX4,A5JYX4_CAEEL,8752420.445098156
A5JYX8,A5JYX8_CAEEL,4507586.194469199
A5PEX6,A5PEX6_CAEEL,5708927.721787694
A5PLL7,TM189_HUMAN,1849903.3596436735
A5PLN9,TPC13_HUMAN,1153881.3146293669
A5YKK6,CNOT1_HUMAN,1387731.2783763837
A5Z2V7,A5Z2V7_CAEEL,1249111.6537136862
A5Z2W3,A5Z2W3_CAEEL,15794207.218217079
A5Z2X5,YP010_YEAST,10155309.299054127
A6NC78,GOG8I_HUMAN,1960972.518109416
A6NC98,CC88B_HUMAN,1856700.5336602868
A6NCE7,MP3B2_HUMAN,18010154.857959386
A6NCN2,KR87P_HUMAN,16156752.67031813
A6ND36,FA83G_HUMAN,510817.6153475695
A6NDG6,PGP_HUMAN,7367007.808907555
A6NDU8,CE051_HUMAN,2948808.6340927174
A6NED2,RCCD1_HUMAN,4968317.080065003
A6NFI3,ZN316_HUMAN,2739503.020654811
A6NGY5,O51F1_HUMAN,2862326.284893041
A6NHL2,TBAL3_HUMAN,4071856.36172315
A6NHQ2,FBLL1_HUMAN,150992.40160555212
A6NHR9,SMHD1_HUMAN,7275824.464708125
A6NIH7,U119B_HUMAN,4256074.155659404
A6NJ78,MET15_HUMAN,1358376.23750596
A6NKF1,SAC31_HUMAN,14961502.5599868
A6NKT7,RGPD3_HUMAN,5801874.337548578
A6ZJ46,A6ZJ46_CAEEL,1458402.9605863723
A6ZKI3,F127A_HUMAN,2370375.7660817904
A7DT40,A7DT40_CAEEL,4508745.232065877
A7DT45,A7DT45_CAEEL,7615110.561698672
A7DTF0,A7DTF0_CAEEL,1700229.088648306
A7DTF5,A7DTF5_CAEEL,8339504.433596434
A7E2V4,ZSWM8_HUMAN,129826.7010979896
A7LPE6,A7LPE6_CAEEL,17151309.288790043
A7LPF3,A7LPF3_CAEEL,6253944.395091929
A7LPG5,A7LPG5_CAEEL,23574220.776397694
A7LPI4,A7LPI4_CAEEL,287439.0272838178
A7LPJ5,A7LPJ5_CAEEL,2076596.7208021544
A7WK39,A7WK39_CAEEL,490340.4494890937
A8MT69,CENPX_HUMAN,340454.69607347576
A8MT70,ZBBX_HUMAN,8244103.289137805
A8MW92,P20L1_HUMAN,3938729.938909983
A8MWD9,RUXGL_HUMAN,148395875.46370536
A8MXV4,NUD19_HUMAN,1001772.7316881793
A8WHR6,A8WHR6_CAEEL,16060604.853646338
A8WI97,A8WI97_CAEEL,1906114.79221861
A9CZN9,A9CZN9_CAEEL,3559552.7097152895
A9D0C6,A9D0C6_CAEEL,2875945.8342680708
A9D2X7,A9D2X7_CAEEL,2447560.169976246
A9D4S6,A9D4S6_CAEEL,1588898.366016359
A9UJN7,A9UJN7_CAEEL,7936464.244376307
B0I1T2,MYO1G_HUMAN,10558887.082654329
B0M0L8,B0M0L8_CAEEL,13098397.476566084
B0M0N9,B0M0N9_CAEEL,205413.67271100145
B1Q254,B1Q254_CAEEL,698092.841734962
B2D6K7,B2D6K7_CAEEL,7830643.412305859
B2D6M2,LIN61_CAEEL,130319.34726468688
B2D6P1,B2D6P1_CAEEL,7816030.718909839
B2FDA8,SMC3_CAEEL,7871623.858924218
B3CJ34,B3CJ34_CAEEL,4509068.3971358705
B3GWA1,B3GWA1_CAEEL,7456940.416243127
B3WFT8,B3WFT8_CAEEL,8122435.492326086
B3WFV9,B3WFV9_CAEEL,2439292.0527496845
B3WFW5,B3WFW5_CAEEL,1174726.9434198453
B3WFW9,B3WFW9_CAEEL,5772007.675427749
B3WFY7,B3WFY7_CAEEL,1036071.038992699
B3WFZ3,B3WFZ3_CAEEL,2307741.906270266
B4E3X6,B4E3X6_CAEEL,4907053.492177887
B5BM23,B5BM23_CAEEL,14654003.543586683
B5BM32,B5BM32_CAEEL,2687613.3575411136
B5BM33,B5BM33_CAEEL,1361444.613353116
B5BM47,B5BM47_CAEEL,25824657.878917575
B5U8N2,B5U8N2_CAEEL,2623459.578031955
B6VQ41,B6VQ41_CAEEL,1331053.7247228352
B6VQ59,B6VQ59_CAEEL,3484067.0546205137
B7FAR9,B7FAR9_CAEEL,7759067.959139556
B7FAS8,B7FAS8_CAEEL,1125814.1501508146
B7WN92,B7WN92_CAEEL,1803513.2359968424
B7WN95,B7WN95_CAEEL,407035667.48482203
B7ZAQ6,GPHRA_HUMAN,2956586.962069199
B9WRS6,B9WRS6_CAEEL,29774083.517486885
B9WRT9,B9WRT9_CAEEL,3805901.788060649
C0P278,C0P278_CAEEL,3050090.488408967
C0VXV6,C0VXV6_CAEEL,1868411.414738296
C0Z1Y9,C0Z1Y9_CAEEL,3642301.3647309304
C1P622,C1P622_CAEEL,27568393.10404628
C1P629,C1P629_CAEEL,8382963.969247933
C1P636,C1P636_CAEEL,18930161.22468286
C2BR91,C2BR91_CAEEL,4586918.03059538
C2BR94,C2BR94_CAEEL,2159614.960660232
C4AMC7,WASH3_HUMAN,26795363.126893107
C5VUK2,C5VUK2_CAEEL,2262806.272869444
C6KRG1,C6KRG1_CAEEL,9094563.735964471
C6KRI9,C6KRI9_CAEEL,1451762.8647923542
C6KRK8,C6KRK8_CAEEL,6560447.125498055
C6KRN4,C6KRN4_CAEEL,1940176.8439274756
C6KRQ4,C6KRQ4_CAEEL,1949358.3890269403
C7FZU3,C7FZU3_CAEEL,12608839.417025179
C9IY21,C9IY21_CAEEL,11850634.800109709
D0IMZ5,D0IMZ5_CAEEL,20208919.181662243
D0PV95,D0PV95_CAEEL,27958576.741633963
D0VWL6,D0VWL6_CAEEL,4010396.6641882705
D0VWM8,D0VWM8_CAEEL,255849.29772249717
D0Z5P0,D0Z5P0_CAEEL,1050586.869002808
D1MN80,D1MN80_CAEEL,706535.1895887436
D3NQA9,D3NQA9_CAEEL,1999706.901215372
D3YT36,D3YT36_CAEEL,4081553.246232985
D3YT56,D3YT56_CAEEL,13556692.947780758
D4YWC3,D4YWC3_CAEEL,2223150.707848275
D5MCN2,LARP1_CAEEL,6889839.551775839
D5MCQ1,D5MCQ1_CAEEL,38677085.86578758
D6REC4,CFA99_HUMAN,762342.8458239845
D6RYD3,D6RYD3_CAEEL,1868310.9442969344
D6RYE0,D6RYE0_CAEEL,1444961.1985812068
D7SFI3,D7SFI3_CAEEL,10743878.038727395
D7SFK2,D7SFK2_CAEEL,6225393.431817649
D9N122,D9N122_CAEEL,2866578.2094980027
D9PTP5,D9PTP5_CAEEL,7714630.337800838
E0AHA7,E0AHA7_CAEEL,12978422.358946288
E0R7L2,E0R7L2_CAEEL,1950417.5800968844
E1B6Q7,E1B6Q7_CAEEL,6845581.741646446
E1B6R3,E1B6R3_CAEEL,3721259.290178017
E1B6R8,E1B6R8_CAEEL,2056937.3149561647
E2JKZ0,E2JKZ0_CAEEL,4149616.1993316105
E3W741,E3W741_CAEEL,978384.1264086644
E5QCI8,E5QCI8_CAEEL,523589.4657968492
E9P883,E9P883_CAEEL,987720.3093344312
E9PAV3,NACAM_HUMAN,67076415.89821346
E9RKC7,E9RKC7_CAEEL,2861337.0957663306
F3Y5Q2,F3Y5Q2_CAEEL,303952.2166097151
F3Y5Q7,F3Y5Q7_CAEEL,53524.94649737255
F5GU60,F5GU60_CAEEL,1434874.6929641552
F5GU86,F5GU86_CAEEL,1930489.4180604408
