UniprotID,ProteinName,quant
A0A061ACH4,A0A061ACH4_CAEEL,812335.7329979893
A0A061ACL3,A0A061ACL3_CAEEL,6751724.577530233
A0A061ACR1,A0A061ACR1_CAEEL,5885495.858101653
A0A061ACY0,A0A061ACY0_CAEEL,2810310.170320589
A0A061AD21,A0A061AD21_CAEEL,6773290.691979125
A0A061AD47,A0A061AD47_CAEEL,3877659.423639221
A0A061AE05,A0A061AE05_CAEEL,1247377.5571060777
A0A061AL58,A0A061AL58_CAEEL,250799.29923113837
A0A078BS63,A0A078BS63_CAEEL,1290426.5398976242
A0AV96,RBM47_HUMAN,3837975.376255219
A0AVF1,TTC26_HUMAN,23617038.151778456
A0AVT1,UBA6_HUMAN,6563935.138408634
A0FGR8,ESYT2_HUMAN,4926469.240928466
A0JLT2,MED19_HUMAN,500288.2131934615
A0MZ66,SHOT1_HUMAN,5525923.189932877
A0PJW6,TM223_HUMAN,7136667.675114442
A1A4S6,RHG10_HUMAN,736093.2102168426
A1A5D9,BICR2_HUMAN,9991823.045165874
A1L0T0,ILVBL_HUMAN,14464488.386661205
A1L390,PKHG3_HUMAN,1029818.1601056156
A1L429,GG12C_HUMAN,5772271.551173817
A2A2Z9,AN18B_HUMAN,35123590.38608412
A2RRD8,ZN320_HUMAN,24230740.627732594
A2RRP1,NBAS_HUMAN,971587.2529056321
A2RTX5,SYTC2_HUMAN,7789593.497492953
A2V8C3,A2V8C3_CAEEL,448934.082096872
A3KMH1,VWA8_HUMAN,3174707.3839249806
A3KN83,SBNO1_HUMAN,7466653.569132457
A3QMB7,A3QMB7_CAEEL,1643866.3280234826
A3QMC2,A3QMC2_CAEEL,2099160.1101213396
A3QMC5,A3QMC5_CAEEL,40924464.89509097
A3QMC8,GMPPB_CAEEL,2646230.21778291
A4D1E9,GTPBA_HUMAN,1987058.9032433857
A4UGR9,XIRP2_HUMAN,1418992.2149593742
A5A3E0,POTEF_HUMAN,16990211.771567546
A5A8Q9,A5A8Q9_CAEEL,5137425.22912635
A5HWB2,A5HWB2_CAEEL,3330881.2517751274
A5JYR4,A5JYR4_CAEEL,1190199.91353766
A5JYX3,A5JYX3_CAEEL,472165.001425909
A5JYX4,A5JYX4_CAEEL,4227272.059710631
A5JYX8,A5JYX8_CAEEL,2325094.7589217764
A5PEX6,A5PEX6_CAEEL,3522691.7638762626
A5PLL7,TM189_HUMAN,4853967.952881947
A5YKK6,CNOT1_HUMAN,7238691.273473142
A5Z2S4,A5Z2S4_CAEEL,854932.8622837795
A5Z2T6,A5Z2T6_CAEEL,6495677.499780931
A5Z2W3,A5Z2W3_CAEEL,11944428.864303354
A5Z2X5,YP010_YEAST,18331806.387610298
A6NC78,GOG8I_HUMAN,2013818.0419861544
A6NC98,CC88B_HUMAN,1124932.7911622624
A6NCE7,MP3B2_HUMAN,20596066.810241897
A6NCN2,KR87P_HUMAN,17229522.486198634
A6ND36,FA83G_HUMAN,268473.3118147768
A6NDG6,PGP_HUMAN,8540603.371725455
A6NDU8,CE051_HUMAN,3483478.2362095206
A6NED2,RCCD1_HUMAN,7507334.92153469
A6NFI3,ZN316_HUMAN,187064.38602854995
A6NGY5,O51F1_HUMAN,1437699.2478632852
A6NHL2,TBAL3_HUMAN,2957928.187462895
