Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
Q04636	POB3_YEAST	3611193.405	3658025.938	3693474.058	1670030.452	1569895.575	2391681.604
P07814	SYEP_HUMAN	33373659.43	32795882.8	33015983.47	34410703.77	34013261.02	34580074.98
H2KYQ5	GYG1_CAEEL	10435342.18	10003424.47	10535190.75	14310914.43	13709236.07	15041589.86
Q04323	UBXN1_HUMAN	22862803.45	22332986.88	22158288	23107224.61	22637501.73	21447971.1
Q9BV20	MTNA_HUMAN	11963633.56	10476175.7	11715440.19	11764595.34	12144490.97	13323786.78
Q5BKZ1	ZN326_HUMAN	5748296.742	6128766.355	5753971.069	6121644.289	6630130.286	6275967.155
O76840	PPN1_CAEEL	23598155.96	21752215.99	23710055.38	30264388.65	28224640.81	28951113.93
P02788	TRFL_HUMAN	32960129.39	27822760.55	23729554.11	24024732.46	24690234.51	25580447.1
P10599	THIO_HUMAN	105719125.5	95988922.07	100765963.5	107271043.2	110139611	118671853
Q27389	RL13A_CAEEL	41351575.14	49793764.78	53742749.97	52014579.6	58891967.07	62255546.23
Q8WUM0	NU133_HUMAN	7977567.124	7876759.4	7465089.884	8091097.382	7354296.496	8120156.67
P38142	YB91_YEAST	2510514.703	NA	1740731.621	NA	NA	NA
P52553	PFD6_YEAST	8392450.157	6700945.477	7282937.451	3987485.244	3798592.951	4664382.496
O95249	GOSR1_HUMAN	2898793.25	2529991.645	3010604.591	2337680.375	3344114.535	3408822.425
P48637	GSHB_HUMAN	33811133.72	33001408.53	33606512.68	31905767.57	35969910.2	34860189.85
O15533	TPSN_HUMAN	18831995.38	18748306.89	20416088.89	20883877.39	18812896.11	19463403.24
Q14C86	GAPD1_HUMAN	9092239.117	8687366.578	9016649.449	9332796.814	8992929.321	9516559.436
P18858	DNLI1_HUMAN	11400393.6	10194721.74	10942736.93	11815052.1	10685029.3	11052465.45
