Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
Q9XTZ2	Q9XTZ2_CAEEL	452280.0632	1875401.592	1887364.344	480705.9163	2410045.942	1856319.132
P05204	HMGN2_HUMAN	97708468.07	100831517.5	94576588.61	90902357.41	94113142.91	94708092.46
P61158	ARP3_HUMAN	23628648.3	21848353.6	23216765.2	23245408.77	24255711.39	21026956.32
Q5QJE6	TDIF2_HUMAN	5824358.387	5696096.449	5350821.125	5879557.084	5550477.379	5874385.483
O01806	O01806_CAEEL	28381403.68	28342280.58	27411669.75	36812710.86	36750507.67	35373612.89
Q16555	DPYL2_HUMAN	22456568.59	21236350.51	20626759.5	22819978.38	23791181.37	22534779.74
Q7KZF4	SND1_HUMAN	33779389.96	33708017.95	31737214.3	34178729.44	34050007.7	33935065.62
Q9UHD8	SEPT9_HUMAN	20834996.13	20360164.3	17464185.82	19283772.98	19330666.63	19315515.66
Q14974	IMB1_HUMAN	65046377.13	62752923.04	64751224.99	65376697.23	68509381.68	68208971.59
P35269	T2FA_HUMAN	5145367.292	5167549.63	5372024.334	4941928.872	5244840.878	5341868.25
P00367	DHE3_HUMAN	51766315.65	50784078.05	46278053.96	49813569.17	51325686.53	51690500.05
Q15365	PCBP1_HUMAN	92216401.36	96669228.88	93092565.7	91151397.62	88356707.8	103155392.1
P10567	MYSP_CAEEL	166372121.5	179295764.5	173009381.3	223482101.9	227331079.3	235390356.6
Q9UII2	ATIF1_HUMAN	53902328.45	51331038.25	61036889.11	51580928.2	60944672.08	64210901.8
Q13435	SF3B2_HUMAN	45960055.83	43411079.88	43672316.42	44181987.33	44983643.79	46758439.89
Q9NUQ9	FA49B_HUMAN	13338152.58	15093891.43	15388083.4	16920727.64	15128884	14526357.78
Q12906	ILF3_HUMAN	55222134.45	54059672.82	55718226.32	57474347.25	56184671.98	57127017.2
Q14151	SAFB2_HUMAN	18355902.43	16937680.3	15835949.03	17010191.61	16425813.39	17111277.98
Q1KMD3	HNRL2_HUMAN	30833868.18	32195555.16	30316035.88	31820413.18	29667627.78	30513049.23
Q9NR45	SIAS_HUMAN	20333413.84	20429081.56	20822598.86	21774520.55	23608907.93	21406488.14
P41223	BUD31_HUMAN	6041106.345	5810722.061	5735760.772	5794258.093	6031995.754	6618219.06
P62851	RS25_HUMAN	143698520.9	152193115.9	161407357.7	167310283.1	152578982.7	161714690.1
P02545	LMNA_HUMAN	286916723.6	280822298.4	279795700.7	288915980.1	295202313.9	293801842.4
P06753	TPM3_HUMAN	73226434.19	69787665.57	74782361.88	77887756.21	77502085.64	80963255.05
Q9BQ52	RNZ2_HUMAN	7225962.23	6830414.189	6460772.855	6681470.905	6733623.86	7471379.153
Q19289	IFB1_CAEEL	48212161.35	47088225.75	42772741.52	59288865.29	59973295.78	62954636.82
Q92841	DDX17_HUMAN	118511747.6	112063689.9	115343632.1	117284364.9	115448232.8	114693187.1
Q92945	FUBP2_HUMAN	41614975.17	41496533.83	39629040.13	42816113.57	40408963.43	40843547.13
Q15428	SF3A2_HUMAN	22471058.43	20630862.09	23186467.11	20846037.29	23634089.21	23530054.01
P00338	LDHA_HUMAN	1973860806	1987375242	1977670462	1981476589	2109876256	2061241058
O45499	RS26_CAEEL	28521653.71	30635245.87	33948379.53	43542369.45	32513985.4	46911958.11
P11021	GRP78_HUMAN	158039565.3	157362061.9	155520911.7	156109844.7	159085806.9	164155598
O75369	FLNB_HUMAN	97008366.56	99371334.42	95484929.36	100163621	99419690.2	101229144.7
P49405	RL5_CAEEL	108398998.2	101636565.3	109174572.7	131720493.1	130740735.8	143770697.6
Q92522	H1X_HUMAN	74818516.2	74214965.71	73857586.85	80366015.21	78352501.31	78256747.62
P12844	MYO3_CAEEL	36635019.91	34696604.5	34962635.74	44828762.32	44048315.87	46211303.46
Q13813	SPTN1_HUMAN	31749011.83	31253910.96	31426058.32	32728383.12	32205113.85	32123585.05
Q9H307	PININ_HUMAN	20660191.57	20025917.61	18975348.67	19905935.55	20008887.88	21138067.26
Q20334	TNNI1_CAEEL	15788070.67	14424466.04	14534000.41	20901374.22	21429775.39	19667438.46
P46975	STT3_CAEEL	5104689.626	4736642.431	5446624.543	5403056.506	5908266.303	5246838.084
Q9Y3T9	NOC2L_HUMAN	10735380.98	10418057.33	10175390.28	11217349.15	10942495.14	11839741.51
Q95XJ0	Q95XJ0_CAEEL	55180887.96	52304701.3	63537977.36	62314000.2	69054461.06	72902730.11
Q02878	RL6_HUMAN	160860441.1	165051528.6	160770264.7	172195764.5	166703791.8	165488598.3
Q86TS9	RM52_HUMAN	3289661.065	2905551.739	3113406.582	2940918.903	2926421.225	NA
P14625	ENPL_HUMAN	161836442.9	168147246.1	164960869	174842887.3	174526274.8	173867292.9
Q09161	NCBP1_HUMAN	19967540.11	21365866.22	21355188.82	20766315.37	22500805.97	20540787.35
Q7Z3K3	POGZ_HUMAN	3967375.636	3576061.644	3734606.111	3390541.168	3954810.461	4250532.871
P60900	PSA6_HUMAN	76568445.4	69737525.53	72483799.49	74799555.14	72301567.82	78549313.85
P27420	HSP7C_CAEEL	125830125.4	121819831.4	118655428.2	150458825.4	148265181.8	154214847.5
P23527	H2B1O_HUMAN	3104494460	3132403467	3179023487	3346987093	3331415406	3375785534
Q16630	CPSF6_HUMAN	28493556.15	29181204.07	28026277.24	26896842.26	29608064.58	31010698.95
Q9N5R9	SPT16_CAEEL	10084306.78	9446512.709	8894842.955	11282710.78	10813048.84	11579003.37
Q8IVT2	MISP_HUMAN	17112427.35	17015048.81	16884548.07	17601097.63	16697037.21	16898170.89
P11142	HSP7C_HUMAN	988081053.2	972613948.4	1011738790	1037217793	1024191986	1064819513
P18947	VIT4_CAEEL	102679661.4	100223534.6	101449444	125038337.6	127464277.8	130599304.4
Q9UKV3	ACINU_HUMAN	18506083.56	18429529.97	17453600.44	17810750.81	18210791.17	19745421.91
P02566	MYO4_CAEEL	190537831.7	187948170.8	193708267.5	236020961.6	240763355.7	248115378.4
Q9GYF1	TNNI2_CAEEL	44075382.14	43854226.19	41935819.27	53987061.85	53715726.03	65722848.7
P62899	RL31_HUMAN	145275110.2	154902967.7	155585263	166300446.6	152955460.2	176833449.7
P51572	BAP31_HUMAN	38908640.34	35327328.75	38893233.09	34906492.8	37905901.72	38036971.98
P51116	FXR2_HUMAN	9634858.849	10217968.12	9019100.457	10175884.83	10257866.21	10252256.92
P51858	HDGF_HUMAN	65076027.56	68280195.51	59518313.13	62595001.79	61614040.49	65126332.75
P22392	NDKB_HUMAN	231851860.4	238914117.8	245036901.8	245327116.2	243202544.4	259185728.4
P35241	RADI_HUMAN	166585515.9	162378366.4	157876012.1	159648349.1	171263359.9	167366850.9
Q20780	Q20780_CAEEL	69955821.77	69643824.29	69159764.88	82958412.04	84570780.05	86282918.47
P91276	IMA2_CAEEL	3723779.214	3658322.649	3371731.682	4352615.05	4921204.905	5031203.779
Q07955	SRSF1_HUMAN	106054643.3	111436910.6	111504568.9	118738982.1	114681969.3	109640393.3
P52272	HNRPM_HUMAN	188703048.1	189990076.2	189031221.7	188743959.9	192769591.6	199278435.1
Q14152	EIF3A_HUMAN	33230775.11	32526674.11	32751129.77	33032846.22	33142552.55	34324022.12
Q13247	SRSF6_HUMAN	73477121.71	75834002.97	65943358.12	71659394.57	74327378.29	69341454.62
Q20898	IFET1_CAEEL	2675651.328	2997815.138	2909727.996	2969122.995	2930877.815	2911362.858
P05783	K1C18_HUMAN	404293237.5	399696932.6	394952466.7	402239480.5	411334451.6	427225329.3
Q15645	PCH2_HUMAN	15754910.79	15420787.85	15804927.64	15876774.48	15374828.88	17124608.99
Q08245	ZEO1_YEAST	173903799.1	176518576.2	161658041.7	109860528.8	101700432.1	102701352.1
P06744	G6PI_HUMAN	281055621.7	295550897	278700495.2	295489808.9	294999941.9	295799854.9
P14314	GLU2B_HUMAN	89155371.08	75764866.23	83362514.58	78338124.89	85012430.09	86012725.56
P00558	PGK1_HUMAN	1002899051	970353874	933960147	984508620.7	1040247315	1025610507
Q14103	HNRPD_HUMAN	95079734.12	88545771	87375278.47	94597688.63	95703073.14	96264630.53
Q9BYD3	RM04_HUMAN	7379254.843	8176628.196	7500524.81	8707245.268	8182829.093	9383708.944
P19338	NUCL_HUMAN	259208158.8	262593154.7	260489301.7	255299980.8	264156529.8	274092898.5
P22943	HSP12_YEAST	489232297.7	433487466.9	414984177.9	237616267.5	246616355.4	229254650
O75822	EIF3J_HUMAN	45590006.16	40054235.56	41121310.44	41949705.26	42405469.05	47273003.34
P13645	K1C10_HUMAN	153286014	158931942.5	148786435.4	166569793.5	164908832.3	161437855.7
Q14980	NUMA1_HUMAN	20378214.93	20346841.24	20043762.7	21012767.91	20412807.31	20744506.8
Q2HQL4	Q2HQL4_CAEEL	16565702.03	16096008.37	15385653.78	18519599.29	21365016.01	23128168.31
Q01082	SPTB2_HUMAN	42547993.67	42136348.81	42061027.53	43835917.31	43643473.07	43187327.79
Q95ZS5	Q95ZS5_CAEEL	3544982.042	2397592.021	2257518.599	4079899.452	3025630.966	3631040.977
P62258	1433E_HUMAN	128646794.6	134505192.6	140797688.8	131415416.6	133898244.7	139899501.2
Q7Z6Z7	HUWE1_HUMAN	26659156.37	26502364.82	25936310.76	27332910.27	27889791.87	27501983.48
P26599	PTBP1_HUMAN	131031605.5	135508908.4	129202670.3	144126051	138925812.6	143369431.1
Q23621	Q23621_CAEEL	102984276.6	107405522.1	109646011.4	136475211.8	141238333.9	149974406.7
O00487	PSDE_HUMAN	29403818.26	25251918.93	28438915.45	26964905.02	26751368.21	31684685.59
P13798	ACPH_HUMAN	12041347.88	12516613.24	10688923.17	12171773.72	10804184.07	11003731.72
Q14011	CIRBP_HUMAN	9812909.905	9496673.14	8987398.401	9175652.489	8653030.356	8639449.893
O15347	HMGB3_HUMAN	66256098.66	59227687.73	59267893.11	58210991.77	54979308.78	57654082.44
P62753	RS6_HUMAN	189635717.4	182963513.5	176456672	198519460.6	179450937.1	195729340.5
Q14498	RBM39_HUMAN	39821154	39117237.83	41324575.02	41150770.14	42358685.55	41254133.08
P55155	VIT1_CAEEL	15390515.3	15046385.65	15306431.14	20819756.52	21383479.28	20529111.86
Q9Y266	NUDC_HUMAN	63467590.88	60243838.76	60498344	62728101.46	62211334.79	62895983.89
P13073	COX41_HUMAN	68345144.12	71291189.1	65949197.41	74631835.37	65164916.11	73011553.93
P42766	RL35_HUMAN	174454132.7	170371924.4	166538645.3	163435761	162148313.6	169407045.2
Q99729	ROAA_HUMAN	107518923.6	113056006.2	107715072.4	106828967.8	112173071.5	126227174.1
Q9HCS7	SYF1_HUMAN	10881549.2	9413169.978	9346611.105	10969507.47	10106268.47	9999078.398
P25685	DNJB1_HUMAN	22217460.31	20963779.02	20557906.5	22659360.9	21708832.03	21950193.71
P00441	SODC_HUMAN	101569195.5	105120377.2	113264385.7	109240656.6	106913044.9	124429701.2
P62913	RL11_HUMAN	157455908.4	150898698.5	153432184.5	170834102.7	157245927.1	157216206.9
P49321	NASP_HUMAN	51228899.58	49537911.39	49802892.83	51389717.98	49362278.99	50329844
Q9H993	CF211_HUMAN	2642093.398	3424340.584	3032885.053	3191785.618	3223089.303	3265109.726
Q95XP6	Q95XP6_CAEEL	6661558.54	6154041.046	5380281.314	7506976.191	7486345.844	6394953.604
O95817	BAG3_HUMAN	5127133.405	5227404.671	4601625.909	4920213.628	4998511.464	6050761.358
Q21752	VDAC_CAEEL	73475271.12	76920401.19	68910567.67	89992973.8	91414668.47	89739390.21
P20339	RAB5A_HUMAN	18368826.33	14908995.94	17514176.17	18841666.96	15836917.99	16701286.75
P25705	ATPA_HUMAN	123353766.3	127932059.6	121196406.3	126406433.4	126059479.3	135571476.4
Q92769	HDAC2_HUMAN	32898147.37	33253017.83	33957306.87	32943525.21	35979290.29	39720451.77
Q9P258	RCC2_HUMAN	60676222.75	57565999.89	61306113.96	61949918.89	58138116.68	63713266.21
O95816	BAG2_HUMAN	20326591.39	18186612.81	19587136.38	19874581.91	19193962.62	20439648.32
Q9Y265	RUVB1_HUMAN	38458521.48	42749553.34	40301606.43	42139694.76	41260525.25	43264084.79
P09622	DLDH_HUMAN	25613478.07	25729833.02	24780316.91	27856075.13	25315592.18	26750463.23
Q9BUJ2	HNRL1_HUMAN	16634364.05	16021361.09	13924598.71	15304137.95	15487096.02	14366172.98
Q95Y85	Q95Y85_CAEEL	2484675.314	2227314.797	2429680.758	3918094.503	3384733.147	3525258.062
Q16204	CCDC6_HUMAN	8541892.776	7611122.702	7441981.858	8461184.676	7867067.561	8025881.102
Q20363	SIP1_CAEEL	48784723.84	48282845.26	47339593.29	59074848.7	58634028.52	56113051.09
P68431	H31_HUMAN	2216296059	2708115235	2389137114	2496617654	2467907543	2911826647
P14618	KPYM_HUMAN	538734794.1	559553848.8	525552501.9	554131152.1	556218228.8	564839582.2
P15559	NQO1_HUMAN	29405413.65	28433908.68	28782393.82	30455846.66	30767988.75	29563503.69
P20700	LMNB1_HUMAN	83776177.78	83678669.11	83858983.81	86315045.34	86097087.26	88763626.48
Q14157	UBP2L_HUMAN	16998426.01	15281192.49	15081121.1	16899814.27	16764132.76	17711155.63
Q14683	SMC1A_HUMAN	27828863.71	27817263.8	26268358.73	29213791.92	27979701.77	27784698.55
Q9Y678	COPG1_HUMAN	16811752.43	19258384.4	16899722.79	17908236.99	16401838.96	17148417.42
P07355	ANXA2_HUMAN	262019622.5	256963997.3	255104638.2	283363649.8	259494597.2	267795355.5
P18948	VIT6_CAEEL	104352660.4	104379747.7	105109586.6	133874697.7	131743476.4	142784837.6
P10412	H14_HUMAN	1537416181	1506877486	1567568051	1608941686	1586609288	1713568653
P00390	GSHR_HUMAN	19826297.63	19543534.12	18135695.97	18342475.57	18487707.79	18559734.92
P20966	PTFBC_ECOLI	830195.7993	NA	732216.0824	NA	NA	NA
P05556	ITB1_HUMAN	50378100.36	50008752.54	52145208.54	53019996.71	51362142.6	54410303.88
P06280	AGAL_HUMAN	1394715.493	2630120.314	2137691.855	2403072.966	2266460.455	2308863.003
P07951	TPM2_HUMAN	28228532.81	27327793.27	23136415.04	28931951.12	26960386.21	29120005.89
P49327	FAS_HUMAN	49394708.56	48821685.47	45825363.74	50240773.21	49743225.1	50583600.16
P36542	ATPG_HUMAN	50015968.64	52355918.06	54117100.7	52495876.59	53764971.8	54647921.52
P55072	TERA_HUMAN	62070196.43	60801681.82	63212380.79	63247602.55	65048901.63	62667787.64
P05114	HMGN1_HUMAN	31904037.22	32821371.84	32249468.22	31849497.31	34556104.38	30314913.44
Q5JSZ5	PRC2B_HUMAN	25359161.38	21558058.87	22991333.88	25266096.82	23441386.85	23947616.89
P05455	LA_HUMAN	41891751.39	41507596.18	40234348.61	45140598.17	43593516.05	44406399.85
Q7L2H7	EIF3M_HUMAN	12227640.82	13097395.97	12577463.98	14806123.64	15071782.71	15058895.43
O14737	PDCD5_HUMAN	33042726.89	34507920.83	30800625.38	38685843.96	33121153.31	33733021.3
P50991	TCPD_HUMAN	63975914.83	68994416.69	64037046.72	67342031.4	66523445.12	64689845.36
Q9NRX4	PHP14_HUMAN	15099257.48	12058622.54	12576908.63	12206142.02	12892891.43	15754305.62
P61830	H3_YEAST	12935635.82	13329668.48	10173619.38	11292326.89	11274340.79	15425469.26
P50914	RL14_HUMAN	78132313.75	73998067.42	77455143.47	78377193.64	81285375.99	82143847.05
P56192	SYMC_HUMAN	24295487.31	23756347.34	22999388.1	25033428.38	25232709.06	24699198
P05787	K2C8_HUMAN	639416965	630262219.2	629161688	660555264.9	624234623.5	664585983
P55010	IF5_HUMAN	33420216.99	30386950.29	28236089.4	31691635.65	28824217.76	29869065.08
P46561	ATPB_CAEEL	155878645.7	159805789.7	161889183.4	210028716.3	193444884.9	198012240.4
Q15149	PLEC_HUMAN	66852574.59	65156902.4	64927956.76	68191707.11	67489664.06	68625809.64
O43242	PSMD3_HUMAN	14430894.15	13570389.06	13321111.48	14491269.78	14800935.92	14680746.04
Q9Y2W1	TR150_HUMAN	38232440.55	38368526.89	39742271.91	40745637.96	40638442.94	41533535.39
Q9NX63	MIC19_HUMAN	26567660.89	25159070.08	23647054.68	26537601.02	22865700.82	23427303.83
P21333	FLNA_HUMAN	97989380.52	96400571.74	96721536.03	98655651.08	97161975.38	99973723.12
P04843	RPN1_HUMAN	43814768.98	40872779.03	42433168.92	45378332.31	43647867.07	44698646.58
Q8N183	MIMIT_HUMAN	9461683.369	9509139.948	10004105.77	10687506.05	9534838.562	10241821.01
P16403	H12_HUMAN	656458747.6	657508551.4	647511895.7	661433483.2	587130097.3	711175802.4
P26196	DDX6_HUMAN	10436255.88	10944829.52	9628820.821	11318979.38	11316550.81	10970060.53
P43243	MATR3_HUMAN	65113951.98	63364615.66	63818937.7	63303631.25	64102333.51	67989198.75
P49790	NU153_HUMAN	23283729.48	21807216.61	22329592.07	22824101.26	22722075.68	22512112
P35613	BASI_HUMAN	78250923.01	86532516.76	85515224.14	80103788.51	82275736.31	83604988.14
Q13144	EI2BE_HUMAN	8096734.337	8149078.692	7967514.189	8498740.035	7684878.528	8653142.931
P43487	RANG_HUMAN	47445059.25	51607300.84	43292378.08	53576003.92	49619267.83	49780447.9
P16104	H2AX_HUMAN	87781582.59	91313707.66	98823447.87	84684526.14	73624402.36	89159876.46
P18077	RL35A_HUMAN	147134151.3	138882221.1	136743936.6	140635737.2	136351722.3	154963107.4
Q92499	DDX1_HUMAN	32605487.64	31198349.76	31213261.01	31011169.78	32390516.54	34369174.45
O75351	VPS4B_HUMAN	80143204.99	77178145.47	71864153.78	84997489.3	89309973.1	84043998.77
P18031	PTN1_HUMAN	10075169.78	10113571.63	9963585.458	10550110.44	10490347.98	9823880.271
P04406	G3P_HUMAN	865961293.5	855496966.6	853723644.3	930873690.2	929097494.5	970568434.2
Q9BUQ8	DDX23_HUMAN	17325574.3	16286117.37	16420760.99	17075203.29	17637293.41	17831717.38
G4S034	G4S034_CAEEL	11528826.62	11182496.54	10751998.79	13360570.08	14076847.33	14553834.68
P83731	RL24_HUMAN	65180447.18	63746376.96	70223727.35	72334866.4	67495079.5	71892532.33
P04970	G3P1_CAEEL	350849057	362362398.8	353717622.5	409489547.6	427724424	456877532.2
Q9H1E3	NUCKS_HUMAN	52492326.46	45329270.75	42008862.45	50615162.68	42622159.94	42699287.94
O60869	EDF1_HUMAN	37004223.37	36882810.25	40170056.7	37602332.46	35607886.55	34545859.66
G8JY40	G8JY40_CAEEL	20327690.43	20521417.2	16496245.32	27435384.49	22611132.77	25886768.06
E0AHA7	E0AHA7_CAEEL	9252175.399	8304577.138	8341015.954	11217709.86	10712088.83	10878904.08
P16949	STMN1_HUMAN	150619832.1	163420819.3	160638490.6	161524093.2	158955107.7	167474632.9
Q9NVM6	DJC17_HUMAN	4075920.309	4772030.925	4008410.217	5325788.96	5393936.128	4618059.324
P29401	TKT_HUMAN	291915316.2	304619726.4	303946354.7	312700465.3	322231411.9	310216567.7
Q9NVA2	SEP11_HUMAN	8160228.324	10879151.09	8083298.516	8415584.886	9235340.785	9720373.486
Q99623	PHB2_HUMAN	66396893.74	64572352.74	64344621.85	69742449.18	68278455.5	67756189.45
Q15046	SYK_HUMAN	42267662.94	40869928.43	44262910.48	44948188.62	45275645.1	46365219.29
Q21551	Q21551_CAEEL	13498513.7	16732024.57	13859793.6	17031167.42	16435609.78	15393227.04
Q9N5B3	Q9N5B3_CAEEL	32513397.33	33083756.68	34537425.6	44572606.37	43919382.57	46651535.64
Q93714	IDH3A_CAEEL	28357841.51	27944640.21	26620293.95	38274657.41	35193701.37	35179965.35
Q96HE7	ERO1A_HUMAN	25689069.07	25316123.67	27508630.96	27259101.96	28115588.02	27745189.21
Q9U2H9	EF1B2_CAEEL	112380381.1	116596369.5	116711606.3	138406616.3	156344937.8	165076334.6
O75643	U520_HUMAN	144050015.6	139206314.4	146660858.4	144405726.7	151345354.1	151661192.8
P13674	P4HA1_HUMAN	22463806.21	22230400.42	22288373.98	24027987.64	22631822.01	23086316.94
Q92804	RBP56_HUMAN	72063509.04	67669655.32	63539662.97	75590403.23	54667826.06	58522984.41
Q969G3	SMCE1_HUMAN	7046672.162	6579471.689	6806220.83	7325399.456	6952650.44	7343314.328
Q9BQ67	GRWD1_HUMAN	10717915.41	11411037.47	10990975.13	11409825.42	11069655.98	10899172.16
H2FLK8	H2FLK8_CAEEL	24003146.61	24169057.35	23779784.84	31270645.12	30882036.18	32604067.45
P06748	NPM_HUMAN	659710391.7	693803370	641709734.8	671873631.5	718070692.1	699833323.3
P25490	TYY1_HUMAN	13827554.58	13563138.15	13064699.02	13866788.36	12767079.78	14122281.27
Q7L2J0	MEPCE_HUMAN	3285606.726	3363693.498	3503056.708	3886859.173	3613362.501	3087793.149
Q9UHB6	LIMA1_HUMAN	5861455.946	5999792.973	6672805.137	6075628.241	6201381.839	6161891.169
O75717	WDHD1_HUMAN	7530595.068	7161454.957	7590599.008	6910548.128	7702335.233	8056858.101
P35580	MYH10_HUMAN	34995067.61	29542511.2	30013894.55	30698437.03	32246810.07	33077668.6
Q9UAV5	Q9UAV5_CAEEL	50783749.84	50684512.95	50415213.6	64921130.71	62030251.73	65260586.85
P80723	BASP1_HUMAN	187099726.7	172920838.5	174069271.8	173561457.8	180827054	190013105.8
Q04637	IF4G1_HUMAN	28834223.16	27588700.91	28768517.79	29444877.04	28856589.78	29426115.39
Q9BL15	Q9BL15_CAEEL	2476099.184	2609639.113	2707462.74	2989968.691	2997959.745	3043839.415
Q14978	NOLC1_HUMAN	62735796.4	58367379.66	64185840.89	64547026.9	65351399.2	65161186.46
P67936	TPM4_HUMAN	151742519.8	142589432.1	134448933.2	142314467.5	150402448.9	144541982.5
Q8TEQ6	GEMI5_HUMAN	15996958.61	15969485.19	15320038.07	15326642.32	15518014.76	16718163.24
Q22054	RS16_CAEEL	107618266.1	115540438.6	120051726.8	156152695	151846362.1	163405406.5
P23381	SYWC_HUMAN	40868774.07	40969987.61	42538169.28	43090222.06	41207343.87	43830045.95
Q14204	DYHC1_HUMAN	24153995.1	24076489.57	23273508.12	25237761.72	25204661.07	24795001.07
Q14697	GANAB_HUMAN	76122094.78	71938107.78	71373355.62	74277799.36	73990557.16	77299675.2
Q9UKM9	RALY_HUMAN	48879772.33	45836853.9	44373881.69	49236541.74	47819898.46	49118367.29
Q9N4I4	RL10A_CAEEL	177274879.4	179941562.6	180932415.3	230510858.8	211115048.5	199180738.6
Q5JRX3	PREP_HUMAN	4940643.056	4766068.758	4581152.627	4754952.374	4783841	5031232.164
P81449	ATPJ_YEAST	22771230.12	25468499.63	20083639.42	12127317.03	13315005.66	12026187.34
O01868	RL24_CAEEL	52582371.63	49778039.09	43517879.54	57670790.33	49098694.8	67278915.79
Q9XXK1	ATPA_CAEEL	233674010.2	239004785.2	259882709.4	289858775.5	293331106.9	296951096.7
Q5VYK3	ECM29_HUMAN	18602911.21	17785919.91	18200073.97	19031966.32	18834428.1	19373386.17
Q21217	GABT_CAEEL	19466237.62	18956124.75	18582444.61	22988450.77	21141187.36	22937990.05
P27797	CALR_HUMAN	118297407.7	110808428.9	107840731.1	107959649.5	111872902.5	116536145
P60520	GBRL2_HUMAN	2073167.892	2320820.544	2293370.319	2297002.482	2402202.247	2614414.996
P29692	EF1D_HUMAN	104577981.6	101062692.5	100946613.6	105182931.4	104134646.1	102795271.4
O18650	RS19_CAEEL	47111611.68	47800463.26	41902855.4	61046028.9	52339063.08	54785324.56
O75475	PSIP1_HUMAN	15720117.01	14285649.3	13360420.91	15434698.46	14845628.02	14755888.04
Q01130	SRSF2_HUMAN	70047829.31	61832990.23	61884753.66	78837844.93	70842949.66	71123558.55
P78527	PRKDC_HUMAN	76388606.56	76275457.68	74911914.26	78910756.19	79735750.04	80137539.28
Q9UGI8	TES_HUMAN	14803848.69	13531074.56	12193767.21	13960952.27	13439731.3	12224062.58
P53621	COPA_HUMAN	57842815.78	52527110.26	54327774.9	52105716.63	53485475.12	57022219.6
A5YKK6	CNOT1_HUMAN	27147901.57	25989654.37	26322063.95	27006984.07	27556577.08	26602020.32
P11388	TOP2A_HUMAN	68495492.15	66572726.05	68981144.82	66273995.89	69984792.49	70966966.26
O43324	MCA3_HUMAN	18021903.96	18894299.04	18878899.29	18600865.76	17654140.65	17115754.68
Q13263	TIF1B_HUMAN	43457257.88	43348848.43	45869714.27	46458008.01	43997821.01	46815268.82
Q9NZM1	MYOF_HUMAN	21580208.29	19774789.63	19572731.38	21128176.79	21084093.62	21561909.63
P20810	ICAL_HUMAN	18211352.25	16368106.98	15868684.58	18020836.82	17870907.03	19171793.89
P49915	GUAA_HUMAN	31927673.43	32126150.95	33089719.4	33799624.57	32768453.73	34711482.83
Q9TXZ9	Q9TXZ9_CAEEL	1864007.757	2560526.9	2370575.438	2941240.985	3770603.179	3266268.195
Q9XWS4	Q9XWS4_CAEEL	69018525.67	73955500.22	69496908.87	85572517.62	87293347.1	94332675.44
P34385	MCCB_CAEEL	6413958.873	6482331.992	6855263.016	8671923.371	8373582.091	8381790.982
P30464	1B15_HUMAN	24386167.67	22458563.65	22758677.04	23377193.29	24000415.36	23441404.98
P39023	RL3_HUMAN	231934427.9	232515355.4	215132317.5	223951718.6	228872488.9	236194996.5
O75533	SF3B1_HUMAN	35873337.77	36939704.67	38277474.78	38329886.92	37844371.28	40134382.99
Q9Y4W6	AFG32_HUMAN	22072663.18	21130949.22	20820585.74	21526161.81	21276338.12	21653677.4
P56378	68MP_HUMAN	19050009.48	22433786.88	25483603.98	20741634.35	23584605.97	24316009.93
P35658	NU214_HUMAN	13909283.52	13275804.38	12753634.21	13660475.95	12986020.95	13239781.86
P00568	KAD1_HUMAN	20597815.66	20683117.28	18105493.02	22127174.6	20872887.41	20205871.47
P42167	LAP2B_HUMAN	71169981.27	65213088.44	66127362.22	64607033.22	67708439.53	73651735.76
P06576	ATPB_HUMAN	267995328	278720994.8	267789667.6	264772568.3	284336053.7	294252237.9
P35249	RFC4_HUMAN	21025204.6	20904533.46	20844881.65	21346558.16	19772569.13	20252920.17
P11387	TOP1_HUMAN	38031113	36697308.54	40382520.11	40382177.91	39904189.02	40840532.38
Q99613	EIF3C_HUMAN	29262892.51	29747532.58	29537556.72	31750036.19	29382456.34	28764076.49
O95831	AIFM1_HUMAN	24408199.99	22413891.76	21884271.39	24658246.14	25276876.72	23744779.51
H2KYI5	H2KYI5_CAEEL	9037543.53	8074357.007	8694136.753	12597163.66	10916330.28	11999156.35
P13797	PLST_HUMAN	34911651.5	34527756.8	32887783.16	37255305.96	35375171.14	35630599.47
Q86VP6	CAND1_HUMAN	24348902.03	24620858.07	26059511.24	25614136.82	24445698.68	26474948.73
Q9NW13	RBM28_HUMAN	9042668.516	8756368.215	8792769.36	9196150.613	8935053.169	9524916.097
O14979	HNRDL_HUMAN	47718391.38	48999349.3	47555824.82	51034519.66	45652751.68	51038433.57
O75400	PR40A_HUMAN	13453395.18	14456337.67	13309048.6	12776217.18	13434286.79	14700004.36
Q23058	SSP9_CAEEL	20876436.93	9595384.088	15800607.27	12469304.57	21047345.55	12164740.57
P39019	RS19_HUMAN	131977304.8	129671293.5	134032080.8	131982967.6	136662111.7	139531911.1
P09874	PARP1_HUMAN	69410346.68	68994150.45	71202720.73	74274512.98	73798569.21	73550284.4
P22695	QCR2_HUMAN	25173338.82	24320733.33	24256309.15	26844274.77	24526028	24868771.5
